street,count,year,directorate,lat,lng,oneway_ratio,feature_count,feature_length,ride_length,features
ALT-HEILIGENSEE / HEILIGENSEESTR. / HENNIGSDORFER STR. / SCHULZENDORFER STR.,2,2009,11,13.21744685,52.6112573,,4,,,4645149-5026423-5046518-6235863
AM BORSIGTURM,1,2009,11,13.2857402461926,52.583705456957,0.4840656500215672,1,1418.16108778857,2149.839106781473,4796771
AM DACHSBAU,1,2009,11,13.2323851042371,52.6140588296981,0.0,1,1673.27415234776,3346.54830469552,5046979
AN DER MÜHLE / KAROLINENSTR. / WAIDMANNSLUSTER DAMM,1,2009,11,13.28081185,52.59383055,,3,,,4540101-4645180-4796341
AROSER ALLEE,1,2009,11,13.3519484642675,52.5663487806684,1.0,1,3232.94560152418,3232.94560152418,4581788
AROSER ALLEE / LINDAUER ALLEE,1,2009,11,13.352008099999999,52.5737367,,2,,,4067951-4581788
AUGUSTE-VIKTORIA-ALLEE / HUMBOLDTSTR. / OLLENHAUERSTR.,1,2009,11,13.3298114,52.56921,,3,,,4068105-12305946-23125889
BASELER STR. / EMMENTALER STR.,1,2009,11,13.3526642,52.5678354,,2,,,4638304-4638312
BERLINER STR.,3,2009,11,13.2885986168966,52.5840442468817,0.9861818660635008,1,3967.50129861006,4022.324762947489,4588911
BERLINER STR. / EGELLSSTR. / WITTESTR.,1,2009,11,13.2912186,52.5810225,,3,,,4588911-4589063-4796769
BERLINER STR. / NAMSLAUSTR.,2,2009,11,13.2931002,52.5787015,,2,,,4588911-4796801
BERNAUER STR.,4,2009,11,13.259435689821,52.5702316728456,0.08110854415193171,1,6739.65062607703,12932.658001780297,4568174
BERNAUER STR. / STERKRADER STR.,2,2009,11,13.2850917,52.5756279,,2,,,4568174-4796784
EGELLSSTR.,1,2009,11,13.2850484917345,52.580801975637,0.0,1,838.01395574309,1676.02791148618,4796769
EICHBORNDAMM,1,2009,11,13.3208638337429,52.5839862620854,0.4134086255837759,1,3698.30618957787,5867.7007003343815,4537077
EICHBORNDAMM / WALDSTR. / WITTESTR.,2,2009,11,13.3150977,52.5765709,,3,,,4537077-4589063-4706735
ERNSTSTR. / SCHUBARTSTR.,1,2009,11,13.3026499,52.5843038,,2,,,4645231-4645235
ERNSTSTR. / TIETZSTR.,1,2009,11,13.3038539,52.5848375,,2,,,4645235-8100381
FLOTTENSTR. / ROEDERNALLEE,2,2009,11,13.3472958,52.5784973,,2,,,4068065-37142126
GORKISTR.,2,2009,11,13.3005961096969,52.5914608921347,0.16105742346442578,1,3255.85259364019,5987.325957368724,4765928
GOTTHARDSTR.,1,2009,11,13.3422468866313,52.5665333933204,0.43902473147089566,1,1952.92783767457,3048.4720558320246,4804202
GOTTHARDSTR. / SCHARNWEBERSTR.,2,2009,11,13.3306643,52.5626002,,2,,,4068044-4804202
GRUßDORFSTR.,1,2009,11,13.2864052285953,52.5887545627543,1.0,1,248.969058732098,248.969058732098,4588918
HENNIGSDORFER STR.,1,2009,11,13.2216322666102,52.6185113321304,0.06703182368689747,1,2533.02933914834,4896.26510224115,6235863
HOLZHAUSER STR.,1,2009,11,13.3062486642159,52.5823837393857,0.6597659538650835,1,3163.07281063474,4239.25787121634,4569873
HUMBOLDTSTR. / LINDAUER ALLEE,1,2009,11,13.345956,52.5745518,,2,,,4067951-4068105
INNUNGSSTR. / OTISSTR. / WITTESTR.,1,2009,11,13.307892299999999,52.577541725,,3,,,4589063-4801741-4804124
KRANTORWEG,1,2009,11,13.2299691751712,52.6217627465695,0.0,1,804.433724765824,1608.867449531648,5047012
