street,count,year,directorate,lat,lng,oneway_ratio,feature_count,feature_length,ride_length,features
ALT-HEILIGENSEE,1,2013,11,13.2125310214956,52.606811173843,0.08337316982299642,1,2223.88428197398,4262.35628204025,5046518
ALT-HEILIGENSEE / FÄHRSTR. / DORFAUE HEILIGENSEE,2,2013,11,13.2108266,52.6070492,,2,,,5046518-32940800
AM NORDGRABEN / EICHBORNDAMM,3,2013,11,13.3241149,52.5876491,,2,,,4537077-4678210
ANTONIENSTR. / SCHARNWEBERSTR. / A 111 BAB AUTOBAHNZUBRINGER HAMBURG / 111 AS EI,3,2013,11,13.3105684,52.5679469,,2,,,4068044-26401499
AROSER ALLEE / HOLLÄNDERSTR.,2,2013,11,13.3539599,52.5620932,,2,,,4581788-4610047
AROSER ALLEE / LINDAUER ALLEE,1,2013,11,13.352008099999999,52.5737367,,2,,,4067951-4581788
AROSER ALLEE / ZERMATTER STR.,1,2013,11,13.3521211,52.5659939,,2,,,4581788-4638309
BERLINER STR.,2,2013,11,13.2885986168966,52.5840442468817,0.9861818660635008,1,3967.50129861006,4022.324762947489,4588911
BERLINER STR. / BRUNOWSTR.,1,2013,11,13.2855582,52.587770500000005,,2,,,4588911-4796510
BERLINER STR. / GORKISTR.,1,2013,11,13.2838115,52.5894867,,2,,,4588911-4765928
BERLINER STR. / VEITSTR.,1,2013,11,13.2870266,52.5862081,,2,,,4588911-4796503
BERNAUER STR.,2,2013,11,13.259435689821,52.5702316728456,0.08110854415193171,1,6739.65062607703,12932.658001780297,4568174
BERNAUER STR. / STERKRADER STR.,1,2013,11,13.2850917,52.5756279,,2,,,4568174-4796784
BORSIGWALDER WEG,1,2013,11,13.3008883959003,52.5871718175623,0.0,1,1262.78283925916,2525.56567851832,25260861
BUDDESTR.,3,2013,11,13.2869118373003,52.5908625911378,0.1770907194104892,1,1075.94861979141,1961.3567244552364,4804125
BUDDESTR. / GORKISTR.,1,2013,11,13.2874382,52.5900873,,2,,,4765928-4804125
EGIDYSTR. / WAIDMANNSLUSTER DAMM,1,2013,11,13.3033185,52.6006596,,2,,,4540101-4802151
EICHBORNDAMM,2,2013,11,13.3208638337429,52.5839862620854,0.4134086255837759,1,3698.30618957787,5867.7007003343815,4537077
GENERAL-BARBY-STR.,2,2013,11,13.3183798961769,52.5719789348874,0.0,1,1186.5093777501,2373.0187555002,4537082
GOTTHARDSTR.,1,2013,11,13.3422468866313,52.5665333933204,0.43902473147089566,1,1952.92783767457,3048.4720558320246,4804202
GOTTHARDSTR. / KAPWEG / SCHARNWEBERSTR.,1,2013,11,13.330549099999999,52.562529025,,3,,,4068044-4071978-4804202
GOTTHARDSTR. / TEICHSTR.,2,2013,11,13.3466217,52.5669564,,2,,,4546470-4804202
HENNIGSDORFER STR.,1,2013,11,13.2216322666102,52.6185113321304,0.06703182368689747,1,2533.02933914834,4896.26510224115,6235863
HERMSDORFER DAMM / WAIDMANNSLUSTER DAMM / A 111 BAB AUTOBAHNZUBRINGER HAMBURG /,1,2013,11,13.285462,52.5949833,,2,,,4540101-4540161
HOLZHAUSER STR.,2,2013,11,13.3062486642159,52.5823837393857,0.6597659538650835,1,3163.07281063474,4239.25787121634,4569873
