street,count,year,directorate,lat,lng,oneway_ratio,feature_count,feature_length,ride_length,features
BRUNSBÜTTELER DAMM / KLOSTERSTR. / RUHLEBENER STR.,3,2017,23,13.198503500000001,52.532915275,,3,,,4453033-4497945-4804140
BRUNSBÜTTELER DAMM / MAGISTRATSWEG,2,2017,23,13.1579351,52.533167649999996,,2,,,4804140-4999747
BRUNSBÜTTELER DAMM / NAUENER STR.,2,2017,23,13.1814749,52.5340519,,2,,,4804140-23968027
BRUNSBÜTTELER DAMM / PÄWESINER WEG,1,2017,23,13.1792207,52.5338498,,2,,,4804140-9933148
BRUNSBÜTTELER DAMM / WILHELMSHAVENER STR.,1,2017,23,13.1955325,52.5335339,,2,,,4804140-9931926
DIEDENHOFENER STR. / KLOSTERSTR.,2,2017,23,13.1963433,52.5304693,,2,,,4453033-9932312
DORFSTR.,1,2017,23,13.2101951856767,52.5203156705878,0.0,1,779.92816509022,1559.85633018044,25113749
EGELPFUHLSTR.,1,2017,23,13.1693093758811,52.5301084491882,0.0,1,708.324825045058,1416.649650090116,10149019
FINKENKRUGER WEG,1,2017,23,13.1437025447138,52.5452419479442,0.0,1,1640.67345377984,3281.34690755968,14355919
FINKENKRUGER WEG / TORWEG,1,2017,23,13.1428282,52.5396272,,2,,,14352662-14355919
FÖLDERICHSTR.,1,2017,23,13.1940076375141,52.5215791503304,0.0,1,787.161659293078,1574.323318586156,4609201
FÖLDERICHSTR. / WEIßENBURGER STR.,1,2017,23,13.1944331,52.5228103,,2,,,4609201-4609211
GATOWER STR.,2,2017,23,13.1798995903359,52.505833904906,0.3520096983535979,1,4463.75456251243,7356.2242279503635,4449164
GATOWER STR. / HEERSTR.,2,2017,23,13.1847721,52.5153674,,2,,,4068033-4449164
HAHNEBERGWEG,1,2017,23,13.1473404876141,52.5211756578882,0.0,1,456.344960608663,912.689921217326,8048599
HEERSTR.,1,2017,23,13.2099677933885,52.5104084598131,0.549096473723349,1,21714.3461113608,31505.42134376507,4068033
HEERSTR. / WEIDENWEG,1,2017,23,13.1379472,52.5253195,,2,,,4068033-23411727
IMCHENALLEE,1,2017,23,13.1461576127534,52.4494808434729,0.0,1,1941.77138103984,3883.54276207968,25094709
ISENBURGER WEG / GEIßBLATTPFAD,1,2017,23,13.1351687,52.5408522,,2,,,5008804-14491743
JADEWEG,1,2017,23,13.1939853649338,52.5307631308258,1.0,1,253.259402929047,253.259402929047,9932310
JÄGERSTR. / WEVERSTR.,1,2017,23,13.195727,52.5194376,,2,,,4609186-4609202
KLADOWER DAMM,1,2017,23,13.1640840534028,52.4661742693013,0.019265326724436444,1,4413.28523167073,8741.547081425193,4895108
KLOSTERSTR.,2,2017,23,13.1975477122057,52.5319059585632,1.0,1,1365.96959400429,1365.96959400429,4453033
KLOSTERSTR. / SEDANSTR.,1,2017,23,13.1974081,52.5317266,,2,,,4453033-18830956
KLOSTERSTR. / SEEBURGER STR. / WILHELMSTR. / ZIEGELHOF,4,2017,23,13.195652183333332,52.529164083333335,,4,,,4453033-4483961-9932084-24967135
KRAMPNITZER WEG,1,2017,23,13.1057102076631,52.4541689160848,0.0,1,4511.78089853426,9023.56179706852,4898027
KRUMME GÄRTEN,1,2017,23,13.192770518176,52.5275964883457,0.0,1,233.042151409171,466.084302818342,24028282
LERCHENSTR. / RITTERFELDDAMM / JOHANN-LANDEFELDT-STR.,1,2017,23,13.1229024,52.4719164,,3,,,4449163-4898698-25523589
LUCHWEG / ALBRECHTSHOFER WEG,1,2017,23,13.1382873,52.5511889,,2,,,23926250-24592479
MAGISTRATSWEG,3,2017,23,13.1600242238611,52.5279378715105,0.33636304225299984,1,2319.35603123321,3858.5664117329743,4999747
MAGISTRATSWEG / RELLSTABWEG,1,2017,23,13.1604032,52.5269477,,2,,,4999747-5000762
METZER STR. / WILHELMSTR.,1,2017,23,13.1939556,52.5254213,,2,,,4483961-97847806
NENNHAUSER DAMM,1,2017,23,13.1365502,52.5298328,0.0,1,2799.69553626314,5599.39107252628,8048607
NENNHAUSER DAMM / BUSCHOWER WEG,1,2017,23,13.1335431,52.5286315,,2,,,8048600-8048607
NENNHAUSER DAMM / HAUPTSTR.,1,2017,23,13.1405104,52.5303467,,2,,,8048607-23554781
NENNHAUSER DAMM / SPANDAUER STR.,1,2017,23,13.1419745,52.5340914,,2,,,8023387-8048607
