street,count,year,directorate,lat,lng,oneway_ratio,feature_count,feature_length,ride_length,features
AN DER MÜHLE / KAROLINENSTR. / WAIDMANNSLUSTER,3,2010,11,13.2806473,52.5938705,,2,,,4645180-4796341
AROSER ALLEE,1,2010,11,13.3519484642675,52.5663487806684,1.0,1,3232.94560152418,3232.94560152418,4581788
AUGUSTE-VIKTORIA-ALLEE / HUMBOLDTSTR. / OLLENHAUERSTR.,1,2010,11,13.3298114,52.56921,,3,,,4068105-12305946-23125889
BERLINER STR.,2,2010,11,13.2885986168966,52.5840442468817,0.9861818660635008,1,3967.50129861006,4022.324762947489,4588911
BERNAUER STR.,3,2010,11,13.259435689821,52.5702316728456,0.08110854415193171,1,6739.65062607703,12932.658001780297,4568174
EICHBORNDAMM,1,2010,11,13.3208638337429,52.5839862620854,0.4134086255837759,1,3698.30618957787,5867.7007003343815,4537077
FLOTTENSTR. / ROEDERNALLEE,1,2010,11,13.3472958,52.5784973,,2,,,4068065-37142126
GORKISTR.,1,2010,11,13.3005961096969,52.5914608921347,0.16105742346442578,1,3255.85259364019,5987.325957368724,4765928
HENNIGSDORFER STR.,1,2010,11,13.2216322666102,52.6185113321304,0.06703182368689747,1,2533.02933914834,4896.26510224115,6235863
HOLZHAUSER STR.,2,2010,11,13.3062486642159,52.5823837393857,0.6597659538650835,1,3163.07281063474,4239.25787121634,4569873
HUMBOLDTSTR. / LINDAUER ALLEE,1,2010,11,13.345956,52.5745518,,2,,,4067951-4068105
INNUNGSSTR. / OTISSTR. / WITTESTR.,2,2010,11,13.307892299999999,52.577541725,,3,,,4589063-4801741-4804124
KURT-SCHUMACHER-DAMM,2,2010,11,13.3159456156583,52.5595637702054,0.9584122562356889,1,4846.73170080341,5048.296336870785,4432668
LINDAUER ALLEE / ROEDERNALLEE / TEICHSTR.,2,2010,11,13.347835025,52.574351975,,3,,,4067951-4068065-4546470
OLLENHAUERSTR.,9,2010,11,13.3305015390962,52.5711561820266,1.0,1,3074.16741653692,3074.16741653692,23125889
ROEDERNALLEE,2,2010,11,13.3430967289215,52.5840282275831,0.33835249206134144,1,3150.7399577959,5235.4191990343115,4068065
RUPPINER CHAUSSEE,3,2010,11,13.2482456459044,52.6126850780797,0.007696745509965465,1,6695.56534883856,13339.596635141766,4795846
SCHARNWEBERSTR.,12,2010,11,13.3189223707098,52.5662213610136,0.9889977906786499,1,3666.33707636706,3706.6748843238765,4068044
SCHULZENDORFER STR.,1,2010,11,13.2325869118787,52.6127845393614,0.0,1,2179.21718453847,4358.43436907694,5026423
SEIDELSTR.,1,2010,11,13.2994845092439,52.5705779987973,0.5290966991692077,1,2682.22198480117,3945.2891710049603,4537056
WAIDMANNSLUSTER DAMM,2,2010,11,13.2982953754575,52.5983526201128,0.512655784186397,1,5191.09875133036,7720.950701508427,4540101
WALDSTR.,1,2010,11,13.3235606019999,52.575817356241,0.47603977225563504,1,1518.0089965713,2313.3853361327933,4706735
WITTESTR.,2,2010,11,13.3027221495472,52.5779972177316,0.2343971419123569,1,1951.38360236388,3445.3684655590273,4589063
BERLINER STR. / KAROLINENSTR. / SCHLOßSTR. / AM TEGELER HAFEN,1,2010,11,13.2824522,52.59089194999999,,4,,,4588911-4645180-4796472-23099190
ERNSTSTR.,1,2010,11,13.299272985347,52.5830806588566,0.0,1,1113.46806790149,2226.93613580298,4645235
GORKISTR. / ZIEKOWSTR.,1,2010,11,13.292128949999999,52.590571600000004,,2,,,4645177-4765928
HOLLÄNDERSTR.,2,2010,11,13.3507805604119,52.5620671826008,0.027283855387180773,1,2182.44316370007,4305.340863731006,4610047
HOLZHAUSER STR. / WITTESTR.,2,2010,11,13.2995817,52.5790901,,2,,,4569873-4589063
KAPWEG / SCHARNWEBERSTR.,1,2010,11,13.3304658,52.5625317,,2,,,4068044-4071978
BUDDESTR.,1,2010,11,13.2869118373003,52.5908625911378,0.1770907194104892,1,1075.94861979141,1961.3567244552364,4804125
BUDDESTR. / GORKISTR.,1,2010,11,13.2874382,52.5900873,,2,,,4765928-4804125
OTISSTR. / SEIDELSTR. / ALLEE ST. EXUPERY,2,2010,11,13.30022,52.5698879,,2,,,4537056-4801741
RUPPINER CHAUSSEE / STOLPMÜNDER WEG,1,2010,11,13.2308522,52.6244539,,2,,,4795846-18652302
KIENHORSTSTR.,1,2010,11,13.3237129429492,52.573833260125,0.1430804802462468,1,1529.1340960615,2839.47895129761,4067941
HERMSDORFER DAMM / WAIDMANNSLUSTER DAMM / A 111 BAB AUTOBAHNZUBRINGER HAMBURG /,2,2010,11,13.285462,52.5949833,,2,,,4540101-4540161
KURT-SCHUMACHER-DAMM / OLLENHAUERSTR. / SCHARNWEBERSTR. / KURT-SCHUMACHER-PLATZ,1,2010,11,13.32804794694705,52.56401823735403,,4,,,4068044-4071974-4432668-23125889
ANDORNSTEIG / SCHULZENDORFER STR.,1,2010,11,13.243587640945801,52.6143046100484,,2,,,5026423-24716398
BERNAUER STR. / SEIDELSTR.,1,2010,11,13.2946193,52.5761921,,2,,,4537056-4568174
BASDORFER ZEILE / GORKISTR.,1,2010,11,13.3010225,52.5915059,,2,,,4765928-16355532
BLANKESTR. / SCHARNWEBERSTR.,1,2010,11,13.329229,52.5634051,,2,,,4068044-4675067
BUDDESTR. / BERNSTORFFSTR.,1,2010,11,13.2866304,52.5912748,,2,,,4796487-4804125
RUPPINER CHAUSSEE / SCHULZENDORFER STR. / ZUR BAB A111-E26,1,2010,11,13.2448978,52.6144116,,2,,,4795846-5026423
ANTONIENSTR. / EICHBORNDAMM / MIRAUSTR.,1,2010,11,13.31567995,52.577957049999995,,3,,,4537077-4804097-26401499
ALT-HEILIGENSEE,2,2010,11,13.2125310214956,52.606811173843,0.08337316982299642,1,2223.88428197398,4262.35628204025,5046518
AM BÄRENSPRUNG,1,2010,11,13.2449400738937,52.610261380144,0.0,1,424.062566868255,848.12513373651,21278814
AM NORDGRABEN / EICHBORNDAMM,3,2010,11,13.3241149,52.5876491,,2,,,4537077-4678210
AM NORDGRABEN / GORKISTR. / STRAßE 184 / PARK BORSIGAUE,2,2010,11,13.3037110286316,52.588178691911125,,3,,,4678210-4765928-5060080
AN DER WILDBAHN,1,2010,11,13.2403515365632,52.6090334613971,0.0,1,1302.36849291085,2604.7369858217,5046984
AROSER ALLEE / SCHILLERRING,1,2010,11,13.35109975,52.56937595,,2,,,4581788-4638322
AUGUSTE-VIKTORIA-ALLEE,2,2010,11,13.3188971633372,52.5706204886464,0.0,1,1528.27460768662,3056.54921537324,12305946
AUGUSTE-VIKTORIA-ALLEE / ENGELMANNWEG,1,2010,11,13.3196587,52.5705131,,2,,,4537081-12305946
AUGUSTE-VIKTORIA-ALLEE / GENERAL-BARBY-STR.,1,2010,11,13.3179068,52.5707445,,2,,,4537082-12305946
BERENHORSTSTR.,1,2010,11,13.3244155409224,52.5678597957723,1.0,1,438.134280334725,438.134280334725,11263882
BERLINER STR. / BIEDENKOPFER STR.,1,2010,11,13.2918459,52.5799593,,2,,,4588911-4796788
BERLINER STR. / GORKISTR.,2,2010,11,13.2838115,52.5894867,,2,,,4588911-4765928
BERLINER STR. / GRUßDORFSTR.,2,2010,11,13.2847547,52.5886209,,2,,,4588911-4588918
BERLINER STR. / VEITSTR.,1,2010,11,13.2870266,52.5862081,,2,,,4588911-4796503
BERNAUER STR. / MAIENWERDERWEG,1,2010,11,13.2546009,52.5619711,,2,,,4568174-6926776
BILLERBECKER WEG / RAUXELER WEG,1,2010,11,13.2763179,52.5745689,,2,,,4796897-8100618
BILLERBECKER WEG / STERKRADER STR.,1,2010,11,13.2854488,52.5747165,,2,,,4796784-4796897
BISONWEG / SCHULZENDORFER STR.,1,2010,11,13.2430353,52.6141678,,2,,,5026423-18783886
BORSIGDAMM / BORSIGDAMMBRÜCKE,1,2010,11,13.2748434,52.5813674,,2,,,4796515-4796539
BREITENBACHSTR. / INNUNGSSTR.,1,2010,11,13.3093939,52.57878,,2,,,4804124-8100317
BRUNOWSTR. / TRESKOWSTR.,1,2010,11,13.282853,52.5874431,,2,,,4796504-4796510
BUDDESTR. / WAIDMANNSLUSTER DAMM,2,2010,11,13.2842703,52.5944326,,2,,,4540101-4804125
EICHBORNDAMM / HERMANN-PIPER-STR. / KGA KÜHLER GRUND,1,2010,11,13.3236514,52.5871912,,2,,,4537077-326452754
EICHBORNDAMM / PANNWITZSTR.,1,2010,11,13.3161708,52.57855,,2,,,4537077-4678202
ERHOLUNGSWEG / SANDGRASWEG,1,2010,11,13.31027555,52.583916849999994,,2,,,7570065-23048170
GABRIELENSTR.,1,2010,11,13.2726210287674,52.5916502624307,0.0,1,1035.55796223874,2071.11592447748,19793804
GENERAL-BARBY-STR.,1,2010,11,13.3183798961769,52.5719789348874,0.0,1,1186.5093777501,2373.0187555002,4537082
GORKISTR. / MIRAUSTR.,1,2010,11,13.3026118,52.5916715,,2,,,4765928-4804097
GREENWICHPROMENADE,1,2010,11,13.273660577174,52.5877997558095,0.0,1,960.045986016165,1920.09197203233,18037818
GROßKOPFSTR. / OLLENHAUERSTR.,1,2010,11,13.3286759,52.5659966,,2,,,4675069-23125889
HEILIGENSEESTR.,1,2010,11,13.2465312233497,52.6011050090075,0.1792333880201836,1,4851.81349262246,8834.020014920157,4645149
HEILIGENSEESTR. / KONRADSHÖHER STR.,1,2010,11,13.2520467,52.5998978,,2,,,4645149-24403109
HOLLÄNDERSTR. / SEPTIMERSTR.,1,2010,11,13.3385885,52.5642768,,2,,,4610047-5089136
IM SAATWINKEL,1,2010,11,13.2421512534163,52.5599479927668,0.0,1,1023.72070406022,2047.44140812044,16756591
KAPWEG / KURT-SCHUMACHER-DAMM,2,2010,11,13.3264841,52.5624697,,2,,,4071978-4432668
KAROLINENSTR.,2,2010,11,13.2795871857301,52.5947514621317,0.7148509938963811,1,1738.74724331566,2234.5492916125277,4645180
KIEFHEIDER WEG,1,2010,11,13.244184156355,52.6209380547013,0.0,1,748.250119359915,1496.50023871983,5786835
KIEFHEIDER WEG / RUPPINER CHAUSSEE,1,2010,11,13.2400796,52.6187277,,2,,,4795846-5786835
KURT-SCHUMACHER-DAMM / A 111 BAB AUTOBAHNZUBRINGER HAMBURG / 111 AS KURT-SCHUHMA,1,2010,11,13.316089980795706,52.5588034506301,0.9584122562356889,1,4846.73170080341,5048.296336870785,4432668
KURT-SCHUMACHER-DAMM / RUE CHARLES CALMETTE,1,2010,11,13.307804,52.556452,,2,,,4432668-8036806
MELLER BOGEN,1,2010,11,13.320718916004,52.5725768877119,0.0,1,447.59974750607,895.19949501214,4675235
MIRAUSTR.,1,2010,11,13.3087495157459,52.5845682707444,0.0,1,1806.82137983957,3613.64275967914,4804097
NORDLICHTSTR.,1,2010,11,13.3214548763199,52.5642571488948,0.021669733273704875,1,799.814417394902,1582.2970696963928,4675017
OESERSTR. / STILLACHZEILE / ZIEKOWSTR.,1,2010,11,13.2924684,52.5895809,,3,,,4645177-4645238-31695821
REGENWALDER WEG,1,2010,11,13.2440227671448,52.6246598321166,0.0,1,690.585767488916,1381.171534977832,22375363
SCHARNWEBERSTR. / URANUSWEG,2,2010,11,13.3173734,52.5665971,,2,,,4068044-24043036
SCHWARZER WEG,2,2010,11,13.3028060578578,52.5707804364114,0.0,1,294.495728802006,588.991457604012,6928719
SEIDELSTR. / A 111 BAB AUTOBAHNZUBRINGER HAMBURG / SEIDELSTRAßENBRÜCKE / 111 AS,1,2010,11,13.299339811865318,52.570442595495805,0.5290966991692077,1,2682.22198480117,3945.2891710049603,4537056
SOLTAUER STR.,1,2010,11,13.3055894622137,52.5790369308288,0.0,1,504.194435562326,1008.388871124652,8752473
