street,count,year,directorate,lat,lng,oneway_ratio,feature_count,feature_length,ride_length,features
URANUSWEG / NORDLICHTSTR.,1,2010,11,13.3165297,52.5654395,,2,,,4675017-24043036
WESSELBURER WEG,1,2010,11,13.2234452888323,52.6047996383472,0.0,1,780.303185715971,1560.606371431942,24720499
ZIEGENORTER PFAD,1,2010,11,13.2353787465519,52.6240647638826,0.0,1,439.539259693141,879.078519386282,22375365
ZIEKOWSTR. / WILHELM-BLUME-ALLEE / KGA INDUSTRIEBAHN,1,2010,11,13.2916411,52.5950473,,2,,,4645177-23048229
ZIEKOWSTR. / ZIEKOW-BRÜCKE / NORDGRABEN,1,2010,11,13.292340008455701,52.59127638460768,0.5963498124927895,1,1582.21151351461,2220.8714876208496,4645177
ALT-WITTENAU / EICHBORNDAMM,1,2010,12,13.3263192,52.5916679,,2,,,4537077-4765745
BERLINER STR.,5,2010,12,13.2840014806453,52.6650751210871,0.0,1,1489.51035907075,2979.0207181415,5051463
BERLINER STR. / WALDSEEWEG,1,2010,12,13.29836595,52.63974665,,2,,,5051463-28817923
DANNENWALDER WEG / FINSTERWALDER STR. / WILHELMSRUHER DAMM,1,2010,12,13.339320325,52.595892075,,3,,,4765110-4765352-4802750
EICHBORNDAMM / ORANIENBURGER STR. / WILHELMSRUHER DAMM,3,2010,12,13.332948349999999,52.5954217,,3,,,4071964-4537077-4765110
EMMENTALER STR. / RESIDENZSTR.,1,2010,12,13.3608121,52.5703344,,2,,,4594653-4638312
FALKENTALER STEIG / HEINSESTR. / HERMSDORFER DAMM,1,2010,12,13.3041351,52.6195503,,3,,,4540161-4804837-28793517
HERMSDORFER STR. / ORANIENBURGER STR.,4,2010,12,13.3265459,52.6046487,,2,,,4071964-4765947
MARKSTR. / PANKOWER ALLEE / RESIDENZSTR.,2,2010,12,13.3643706,52.5638211,,3,,,4594653-4610040-10755765
OLLENHAUERSTR.,1,2010,12,13.3305015390962,52.5711561820266,1.0,1,3074.16741653692,3074.16741653692,23125889
ORANIENBURGER STR.,8,2010,12,13.3339146277492,52.5907155628614,0.6405869315687691,1,6455.61860384759,8775.85229487819,4071964
ORANIENDAMM,2,2010,12,13.3206406689566,52.6097525201938,0.0,1,993.393154641189,1986.786309282378,9774896
ORANIENDAMM / WAIDMANNSLUSTER DAMM / ZABEL- KRÜGER-DAMM,1,2010,12,13.3238076,52.6078615,,3,,,4540101-4802391-9774896
QUICKBORNER STR.,1,2010,12,13.3635339047381,52.6068414902183,0.09189677870713885,1,2773.71389217812,5292.532412609831,4765339
RESIDENZSTR.,7,2010,12,13.3637448991295,52.5650633341418,0.9314703153014364,1,3896.16245265195,4163.16523706657,4594653
ROEDERNALLEE,1,2010,12,13.3430967289215,52.5840282275831,0.33835249206134144,1,3150.7399577959,5235.4191990343115,4068065
SENFTENBERGER RING,2,2010,12,13.3563828902757,52.6051791172156,0.0,1,3586.17470294426,7172.34940588852,4802807
WILHELMSRUHER DAMM,1,2010,12,13.3528468625584,52.596510926761,0.27659169965959907,1,4113.8691101052,7089.876170869281,4765110
ZABEL-KRÜGER-DAMM,3,2010,12,13.339539639502,52.612036704326,0.0,1,2584.42496157825,5168.8499231565,4802391
ZELTINGER PLATZ,2,2010,12,13.2905184683848,52.6334265033681,0.8775608047907644,1,483.839355508222,543.0802568072039,4902505
ZELTINGER PLATZ / FROHNAUER BRÜCKE,1,2010,12,13.289784,52.6332194,,2,,,4902505-7729029
ALMUTSTR. / BERLINER STR.,1,2010,12,13.3023219,52.63738875,,2,,,5051463-9703378
DANNENWALDER WEG / TREUENBRIETZENER STR. / WILHELMSRUHER DAMM,1,2010,12,13.360624549999999,52.59708465,,3,,,4765110-4765338-4765352
DIETRICHINGER WEG / ORANIENBURGER STR. / WITTENAUER STR.,1,2010,12,13.329674,52.6020065,,3,,,4071964-4802588-39493949
DÜSTERHAUPTSTR. / WAIDMANNSLUSTER DAMM,1,2010,12,13.3219647,52.6074554,,2,,,4540101-4802331
EICHHORSTER WEG / SCHORFHEIDESTR. / WILHELMSRUHER DAMM,1,2010,12,13.3476343,52.5961978,,3,,,4765110-4802786-11953271
HERMSDORFER STR.,1,2010,12,13.3237373203923,52.5984776046051,0.25189893955407316,1,1473.75805382136,2576.2780167258447,4765947
HOLLÄNDERSTR.,1,2010,12,13.3507805604119,52.5620671826008,0.027283855387180773,1,2182.44316370007,4305.340863731006,4610047
MARKSTR.,4,2010,12,13.3647787581342,52.5606746760514,0.8954126285359881,1,1446.81202742342,1598.1302943741534,4610040
BENEKENDORFFSTR. / ORANIENDAMM,1,2010,12,13.3221905,52.6088245,,2,,,4802408-9774896
SIGISMUNDKORSO / LUDOLFINGERPLATZ,1,2010,12,13.2874323,52.6322887,,2,,,16857795-32459359
MARTIN-LUTHER-STR.,1,2010,12,13.296478668373,52.6136794232033,0.0,1,834.508447776441,1669.016895552882,4804581
SENFTENBERGER RING / STRAUPITZER STEIG,1,2010,12,13.3535513,52.5998485,,2,,,4802807-25559114
LINDAUER ALLEE / RESIDENZSTR. / KOLPINGPLATZ,5,2010,12,13.3589968025521,52.57352001798282,,3,,,4067951-4594653-61738221
ORANIENBURGER STR. / GÖSCHENPLATZ,1,2010,12,13.3325059,52.5976461,,2,,,4071964-4765878
BERLINER STR. / BURGFRAUENSTR. / VELTHEIMSTR.,1,2010,12,13.30035235,52.637004850000004,,3,,,4804925-4805075-5051463
AM NORDGRABEN / ROEDERNALLEE / ROEDERNBRÜCKE,1,2010,12,13.3399001,52.58808515,,2,,,4068065-4678210
SCHONACHER STR. / ZABEL-KRÜGER-DAMM / SCHLUCHSEESTR.,2,2010,12,13.3278784,52.6090183,,3,,,4802391-4802431-4802554
PROVINZSTR.,1,2010,12,13.3788598376203,52.5676572039137,0.0,1,1554.46301566728,3108.92603133456,4610131
RASCHDORFFSTR. / RESIDENZSTR. / THATERSTR.,2,2010,12,13.3621475,52.56780575,,3,,,4594653-4637898-4638307
MAXIMILIANKORSO,1,2010,12,13.2786305251737,52.6341688572491,0.0,1,1393.3939431933,2786.7878863866,16885071
AM EICHENHAIN,1,2010,12,13.2657753737473,52.6333486033053,0.0,1,1772.59473187974,3545.18946375948,16857791
LÜBARSER STR. / ORANIENBURGER STR.,2,2010,12,13.3322026,52.5993165,,2,,,4071964-4802740
VELTHEIMSTR.,1,2010,12,13.3212808902006,52.6260457649264,0.0,1,1538.60796678454,3077.21593356908,4805075
ALT-WITTENAU,1,2010,12,13.3283944285671,52.5914118045024,0.6367579562252365,1,1958.52546370384,2669.944255924539,4765745
ALT-WITTENAU / HERMSDORFER STR. / TRIFTSTR.,1,2010,12,13.321196875,52.593586724999994,,3,,,4765745-4765947-4766009
ALT-WITTENAU / ORANIENBURGER STR.,2,2010,12,13.3342518,52.5896751,,2,,,4071964-4765745
AM GRÜNEN HOF / LUDOLFINGERWEG,1,2010,12,13.2775681,52.6328267,,2,,,16866586-16867027
AM NORDGRABEN / BRÜCKE ÜBER DEN NORDGRABEN,1,2010,12,13.329042291859098,52.588227216645606,0.8028348271547981,1,5066.20611512817,6065.085519486834,4678210
AM NORDGRABEN / ORANIENBURGER STR. / ORANIENBURGER BRÜCKE,1,2010,12,13.334583649999999,52.58742595,,2,,,4071964-4678210
AMBOßWEG / WILHELMSRUHER DAMM,1,2010,12,13.3362992,52.5956651,,2,,,4765110-4765660
AMENDESTR.,2,2010,12,13.3691434651511,52.5687017479048,0.0,1,1067.01300016548,2134.02600033096,4637899
ARTEMISSTR.,1,2010,12,13.3161000009864,52.6091410590056,0.0,1,621.259246710106,1242.518493420212,4802339
BENEKENDORFFSTR.,1,2010,12,13.3370513872819,52.6148643347283,0.0,1,2625.44070518429,5250.88141036858,4802408
BERLINER STR. / BERTRAMSTR. / WACHSMUTHSTR.,1,2010,12,13.310226175,52.629088225000004,,3,,,4805024-5051463-33327632
BIESELHEIDER WEG / BIESELHEIDER WEG,1,2010,12,13.3048933,52.6431543,0.0,1,813.208335359171,1626.416670718342,4902526
DEUTSCHE STR.,1,2010,12,13.3600762468171,52.5683206975309,0.0,1,238.297673030765,476.59534606153,4638308
DIANASTR.,1,2010,12,13.3131629556791,52.6073258249403,0.0,1,1329.77200536882,2659.54401073764,25799886
DREWITZER STR. / FELLBACHER STR. / HERMSDORFER DAMM,1,2010,12,13.3018175,52.6171842,,3,,,4540161-4804563-4804813
DRONTHEIMER STR. / RITTERLANDWEG / SOLDINER STR. / PROVINZSTR.,2,2010,12,13.3770424,52.5607568,,4,,,4610130-4610131-4610132-8150022
EICHBORNDAMM / SPIEßWEG,2,2010,12,13.327786,52.5932615,,2,,,4537077-4765755
EICHHORSTER WEG / WITTENAUER STR.,1,2010,12,13.3344711,52.6035397,,2,,,4802588-4802786
ELKESTEIG / SCHILDOWER STR.,1,2010,12,13.3169473,52.6190245,,2,,,4805014-4805066
EMMENTALER STR.,1,2010,12,13.3597903260192,52.5700133795532,0.11464527964829224,1,1545.21221962916,2913.2731522229765,4638312
FLOTTENSTR.,1,2010,12,13.3587076845252,52.5772598455613,0.0,1,1602.11054497855,3204.2210899571,37142126
FORSTWEG / FROHNAUER STR.,1,2010,12,13.2864947,52.6276772,,2,,,10620897-16866590
FROHNAUER STR. / KNEIPPSTR.,1,2010,12,13.2958756,52.620693,,2,,,4804838-10620897
FÜRST-BISMARCK-STR.,1,2010,12,13.3128776595501,52.608570629958,0.0,1,217.924161594787,435.848323189574,25058813
FÜRSTENDAMM / ZELTINGER PLATZ,1,2010,12,13.2916779,52.6332338,,2,,,4902505-4902510
GRALSBURGSTEIG / MAXIMILIANKORSO,1,2010,12,13.2868923,52.6335671,,2,,,16885071-17342224
HEINSESTR.,1,2010,12,13.3074990181402,52.6162859774089,0.0,1,876.785713036849,1753.571426073698,28793517
HERMSDORFER DAMM,2,2010,12,13.2951375793075,52.610192407,0.2479147025081668,1,5384.49784323905,9434.099505515625,4540161
HERMSDORFER DAMM / SILVESTERWEG,1,2010,12,13.3091633,52.6217285,,2,,,4540161-57743550
HOHEFELDSTR.,1,2010,12,13.3026298648692,52.6233962892437,0.0,1,776.816038393613,1553.632076787226,4804937
HOLLÄNDERSTR. / MARKSTR.,1,2010,12,13.364505000000001,52.5626951,,2,,,4610040-4610047
HUBERTUSSTR. / WAIDMANNSLUSTER DAMM,1,2010,12,13.3165835,52.6060528,,2,,,4540101-4802334
HUBERTUSWEG / ORANIENBURGER CHAUSSEE / STAEHLEWEG,1,2010,12,13.2903817,52.6558407,,3,,,4480729-4713950-28573180
IM AMSELTAL / MAXIMILIANKORSO,1,2010,12,13.2839468,52.6339941,,2,,,16885071-16890398
KARMELITERWEG / LUDOLFINGERPLATZ,1,2010,12,13.2880705,52.6320072,,2,,,16889141-32459359
KOSSÄTENSTR. / ORANIENBURGER STR.,1,2010,12,13.3342633,52.5824501,,2,,,4071964-9015448
LINDAUER ALLEE,1,2010,12,13.3455363011322,52.574611404745,1.0,1,3707.63256135087,3707.63256135087,4067951
LOTOSWEG,1,2010,12,13.3262468545716,52.6146127759905,0.0,1,722.740623291449,1445.481246582898,9703375
LUDOLFINGERWEG,1,2010,12,13.2800262430843,52.6327718774982,0.0,1,1011.76447425156,2023.52894850312,16867027
MAXIMILIANKORSO / LUDOLFINGERPLATZ,1,2010,12,13.2877231,52.6328795,,2,,,16885071-32459359
MAXIMILIANKORSO / WAHNFRIEDSTR.,1,2010,12,13.2856988,52.6338534,,2,,,16885071-16890400
ORANIENBURGER STR. / TECHOWPROMENADE,1,2010,12,13.3334143,52.5930615,,2,,,4071964-36828659
PANKOWER ALLEE / REGINHARDSTR.,1,2010,12,13.3735122,52.5643197,,2,,,4610134-10755765
RITTERLANDWEG,1,2010,12,13.3727949192303,52.5606666951506,0.17160766193978896,1,603.253622400988,1102.984301105034,4610132
ROEDERNALLEE / SCHMIEDEPFAD,1,2010,12,13.335517,52.592314,,2,,,4068065-4765675
ROEDERNALLEE / WILHELM-GERICKE-STR.,1,2010,12,13.3405087,52.5873254,,2,,,4068065-4675276
ROTBUCHENWEG,1,2010,12,13.32341387161,52.5840825540413,0.0,1,302.436426846074,604.872853692148,4678207
RUE MONTESQUIEU / JEAN-JAURES-STR.,1,2010,12,13.319750952245897,52.60267203214069,0.0,1,497.230738903769,994.461477807538,4766074
SCHORFHEIDESTR. / BRÜCKE ÜBER DEN NORDGRABEN / NORDGRABEN,1,2010,12,13.346594755470097,52.59248043526945,0.23723972762833728,1,866.101794819766,1526.7298357380766,11953271
SCHULZENDORFER STR. / BRANDTSTR. / HEINSESTR.,1,2010,12,13.3110499,52.6130517,,3,,,4804662-20547483-28793517
SCHÖNFLIEßER STR.,1,2010,12,13.2955447817736,52.6425378518695,0.1656360652691318,1,1946.79655947586,3571.1333969606553,8069374
SEEBADSTR.,1,2010,12,13.3237842475421,52.615980761512,0.0,1,614.259799648447,1228.519599296894,26952415
SENHEIMER STR. / ZELTINGER STR.,1,2010,12,13.2920926,52.6350094,,2,,,4902500-6247951
SPIEßWEG,1,2010,12,13.3271107285027,52.5934743532218,0.0,1,738.155026110134,1476.310052220268,4765755
STARGARDTSTR.,1,2010,12,13.3609027615718,52.5663117753806,0.0,1,262.482110762684,524.964221525368,32009527
TORNOWER WEG,1,2010,12,13.3489515997985,52.5936083038329,0.0,1,379.543471572636,759.086943145272,4765379
TREUENBRIETZENER STR.,1,2010,12,13.3624548,52.5993326,0.10750785822916137,1,1440.62561550413,2726.372656575344,4765338
WAIDMANNSLUSTER DAMM / AM DIANAPLATZ,1,2010,12,13.314346,52.605377,,2,,,4540101-4802336
WALDSHUTER ZEILE,1,2010,12,13.3358607416017,52.6096624355234,0.0,1,131.018820933176,262.037641866352,4802549
WILTINGER STR. / ZELTINGER PLATZ,1,2010,12,13.2904724,52.6342954,,2,,,4902505-4902523
WITTENAUER STR.,1,2010,12,13.3436391555119,52.6076684461163,0.048977461142830615,1,2933.77025591219,5723.851893113449,4802588
ZELTINGER PLATZ / ZELTINGER PLATZ,1,2010,12,13.2905184683848,52.6334265033681,0.8775608047907644,1,483.839355508222,543.0802568072039,4902505
ÖSCHELBRONNER WEG / WITTENAUER STR.,1,2010,12,13.3423715,52.6075353,,2,,,4802550-4802588
BERLINER STR.,10,2010,13,13.4126911354639,52.562805424631,1.0,1,3900.67563680965,3900.67563680965,4631700
BERLINER STR. / BREITE STR.,1,2010,13,13.4098491,52.5710863,,2,,,4631700-4631947
BERLINER STR. / BRENNERSTR. / MÜHLENSTR. /,1,2010,13,13.4130736,52.5588786,,3,,,4631700-10575630-146173206
BERLINER STR. / ESPLANADE / WESTERLANDSTR.,2,2010,13,13.413785923371751,52.557665990339075,,3,,,4631700-4631706-123384345
BERLINER STR. / GRANITZSTR. / KISSINGENSTR.,1,2010,13,13.41301975,52.5663531,,3,,,4631700-4632067-144945039
BEUTHSTR. / DIETZGENSTR. / PLATANENSTR. / BROSEPARK PANKOW,1,2010,13,13.402643099999999,52.585532900000004,,3,,,4764689-4764829-4777089
BREITE STR.,4,2010,13,13.4078837440488,52.5702369117003,0.8983843804885796,1,2333.03542682403,2570.108267062845,4631947
CHARLOTTENSTR.,1,2010,13,13.4113353921732,52.5893773362109,0.0,1,849.853893451741,1699.707786903482,4777081
DIETZGENSTR.,5,2010,13,13.4027189173283,52.5929097570199,0.3670647247494517,1,3530.95233983343,5765.81663094247,4764689
ELSA-BRÄNDSTRÖM-STR. / PRENZLAUER PROMENADE,3,2010,13,13.4279251,52.5606026,,2,,,4484351-23845949
FLORASTR.,7,2010,13,13.4039660910225,52.5655126115084,0.05352567918986604,1,1220.95684186975,2376.5611395169076,4632868
FRIEDRICH-ENGELS-STR.,1,2010,13,13.386663299725,52.5901213725765,0.3549586547080942,1,4300.16967521177,7073.956907493826,4764795
GRANITZSTR. / HIDDENSEESTR. / KISSINGENSTR.,1,2010,13,13.413758530608675,52.56643280175767,,3,,,4632067-25277176-144945039
GRANITZSTR. / PRENZLAUER PROMENADE / ROTHENBACHSTR.,4,2010,13,13.428757699999998,52.571953225,,3,,,4484351-25833007-144945039
