street,count,year,directorate,lat,lng,features
ALLMENDEWEG,1,2014,11,13.2993090556691,52.602925482648,4802137
ALT-HEILIGENSEE / HEILIGENSEESTR. / HENNIGSDORFER STR. / SCHULZENDORFER STR.,2,2014,11,13.21744685,52.6112573,4645149-5026423-5046518-6235863
ALT-REINICKENDORF / ROEDERNALLEE / VELTENER STR.,1,2014,11,13.3477435,52.5758387,4067922-4068065
AM BORSIGTURM,1,2014,11,13.2857533984615,52.5837005653341,4796771
AM NORDGRABEN / EICHBORNDAMM,1,2014,11,13.3240508,52.5875773,4678199-4678210
AN DER MÜHLE / KAROLINENSTR. / WAIDMANNSLUSTER DAMM / FLIEßBRÜCKE,2,2014,11,13.280874650000001,52.5937785,4540101-4645180-4796341
ANTONIENSTR.,3,2014,11,13.3126833531434,52.5736476684557,4537077
ANTONIENSTR. / EICHBORNDAMM / MIRAUSTR.,4,2014,11,13.3157715,52.5782188,4537077-4678199-4804097
ANTONIENSTR. / KIENHORSTSTR.,1,2014,11,13.3131055,52.574798,4067941-4537077
ANTONIENSTR. / SCHARNWEBERSTR. / A 111 BAB AUTOBAHNZUBRINGER HAMBURG / 111 AS E,4,2014,11,13.3105684,52.5679469,4067902-4537077
ANTONIENSTR. / WITTESTR.,2,2014,11,13.3141432,52.5767033,4537077-4589063
AROSER ALLEE,2,2014,11,13.3519484642675,52.5663487806684,4581788
AROSER ALLEE / EMMENTALER STR. / GOTTHARDSTR.,2,2014,11,13.351202,52.56760225,4581788-4638312-4804202
AROSER ALLEE / HOLLÄNDERSTR.,1,2014,11,13.3539599,52.5620932,4581788-4610047
AROSER ALLEE / LINDAUER ALLEE,3,2014,11,13.352008099999999,52.5737367,4067951-4581788
AROSER ALLEE / ZERMATTER STR.,2,2014,11,13.3521211,52.5659939,4581788-4638309
AUGUSTE-VIKTORIA-ALLEE,1,2014,11,13.3188971639306,52.5706204885626,12305946
AUGUSTE-VIKTORIA-ALLEE / GENERAL-BARBY-STR.,3,2014,11,13.3179068,52.5707445,4537082-12305946
