street,count,year,directorate,lat,lng,features
IM REHGRUND / JÄGERWEG,1,2015,11,13.2355973,52.6118591,5047014-18783875
JACOBSENWEG,1,2015,11,13.2985203829404,52.5814643710375,30748472
KAROLINENSTR.,1,2015,11,13.2795845173033,52.5947530463032,4645180
KIEFHEIDER WEG / RUPPINER CHAUSSEE,2,2015,11,13.2400796,52.6187277,4795846-5786835
KURT-SCHUMACHER-DAMM,2,2015,11,13.3156939503574,52.5595117423545,4432668
KURT-SCHUMACHER-DAMM / A 111 BAB AUTOBAHNZUBRINGER HAMBURG / 111 AS KURT-SCHU,1,2015,11,13.315892854555516,52.558679353357476,4432668
KURT-SCHUMACHER-DAMM / STRAßE 442 / CHARLES-CORCELLE-RING,2,2015,11,13.257346850000001,52.579216,4432668-4674816-28950011
LINDAUER ALLEE,1,2015,11,13.3455313677844,52.5746121047219,4067951
LINDAUER ALLEE / OLLENHAUERSTR. / WALDSTR.,3,2015,11,13.3321144,52.57547365,4067951-4706735-23125889
LINDAUER ALLEE / ROEDERNALLEE / TEICHSTR.,1,2015,11,13.347835025,52.574351975,4067951-4068065-4546470
NUßHÄHERSTR.,1,2015,11,13.2230285005498,52.5808822246646,5046436
OLLENHAUERSTR.,9,2015,11,13.3305006204459,52.5711567869549,23125889
OTISSTR. / SEIDELSTR. / ALLÉE ST. EXUPÉRY,1,2015,11,13.2996311,52.56977155,4537056-4801741-24802099
OTISSTR. / WITTESTR.,2,2015,11,13.3076581,52.5773746,4589063-4801741
ROEDERNALLEE,1,2015,11,13.3430962334298,52.5840289088583,4068065
ROEDERNALLEE / THYSSENSTR.,1,2015,11,13.3455177,52.580758,4068065-19200013
RUE DU CAPITAINE JEAN MARIDOR,1,2015,11,13.3032675472634,52.5672946814866,4801816
RUPPINER CHAUSSEE,7,2015,11,13.2469393879284,52.6133332616186,4795846
SCHARNWEBERSTR.,12,2015,11,13.3197398717116,52.5660242265617,4067902
SCHUBARTSTR.,1,2015,11,13.3027372172933,52.5842311691016,4645231
SCHULZENDORFER STR.,1,2015,11,13.2325869166452,52.612784539951,5026423
SEIDELSTR.,2,2015,11,13.2994845092439,52.5705779987973,4537056
SEIDELSTR. / A 111 BAB AUTOBAHNZUBRINGER HAMBURG / SEIDELSTRAßENBRÜCKE / 111 AS,1,2015,11,13.299339811865316,52.570442595495805,4537056
SEIDELSTR. / AVENUE JEAN MERMOZ,1,2015,11,13.3016581,52.5692335,4537056-4801849
TILE-BRÜGGE-WEG,1,2015,11,13.29584713822,52.5918716693195,16355536
TITUSWEG / WAIDMANNSLUSTER DAMM / ZIEKOWSTR.,1,2015,11,13.2916551,52.5960287,4540101-4645177-4802120
TRETTACHZEILE,1,2015,11,13.2932976544828,52.5871174948968,8873220
WALDSTR.,1,2015,11,13.3235606019999,52.575817356241,4706735
WILHELM-BLUME-ALLEE,1,2015,11,13.2895921451072,52.5937437969742,23048229
WITTESTR.,3,2015,11,13.3027221495472,52.5779972177316,4589063
ZIEKOWSTR.,1,2015,11,13.2920668141207,52.5911894751542,4645177
ALEMANNENSTR.,1,2015,12,13.2801518548364,52.6346396991374,16866582
ALTER BERNAUER HEERWEG,1,2015,12,13.36420690074,52.6134913334978,4802860
ALT-LÜBARS / BLANKENFELDER CHAUSSEE / SCHILDOWER WEG,1,2015,12,13.3602082,52.6197897,4802826-23547069-23547076
ALT-REINICKENDORF,1,2015,12,13.353116240024,52.5750667928934,4067922
ALT-REINICKENDORF / RESIDENZSTR. / KLEMKESTR. / KOPENHAGENER STR.,1,2015,12,13.359196827179815,52.57427474571443,4067922-4071972-4594653-33927189
ALT-WITTENAU,2,2015,12,13.328395519465,52.5914113230332,4765745
ALT-WITTENAU / EICHBORNDAMM,1,2015,12,13.3263192,52.5916679,4678199-4765745
ALT-WITTENAU / ORANIENBURGER STR.,1,2015,12,13.3342518,52.5896751,4071964-4765745
AM NORDGRABEN / ORANIENBURGER STR. / ORANIENBURGER BRÜCKE,1,2015,12,13.33469505,52.587430600000005,4071964-4678210
AM NORDGRABEN / ROEDERNALLEE / ROEDERNBRÜCKE,2,2015,12,13.3399001,52.58808515,4068065-4678210
AM PFINGSTBERG,1,2015,12,13.3024236676731,52.6264147853765,4804916
