street,count,year,directorate,lat,lng,features
ALT-HEILIGENSEE,2,2016,11,13.2125310214956,52.606811173843,5046518
ALT-REINICKENDORF / ROEDERNALLEE / VELTENER STR.,2,2016,11,13.3477435,52.5758387,4067922-4068065
AM DACHSBAU / HEILIGENSEESTR.,1,2016,11,13.229818,52.6065815,4645149-5046979
AM NORDGRABEN,1,2016,11,13.3290692272817,52.5874612659903,4678210
AM NORDGRABEN / EICHBORNDAMM,2,2016,11,13.3240508,52.5875773,4678199-4678210
AM NORDGRABEN / TRIFTSTR. / TRIFTBRÜCKE,2,2016,11,13.3171885,52.588216,4645243-4678210
AN DER MÜHLE / KAROLINENSTR. / WAIDMANNSLUSTER DAMM / FLIEßBRÜCKE,1,2016,11,13.280874650000001,52.5937785,4540101-4645180-4796341
ANTONIENSTR.,1,2016,11,13.3126833531434,52.5736476684557,4537077
ANTONIENSTR. / SCHARNWEBERSTR. / A 111 BAB AUTOBAHNZUBRINGER HAMBURG / 111 AS EI,1,2016,11,13.3105684,52.5679469,4067902-4537077
AROSER ALLEE,2,2016,11,13.3519484642675,52.5663487806684,4581788
AROSER ALLEE / LINDAUER ALLEE,6,2016,11,13.352008099999999,52.5737367,4067951-4581788
AROSER ALLEE / ZERMATTER STR.,1,2016,11,13.3521211,52.5659939,4581788-4638309
AUGUSTE-VIKTORIA-ALLEE / HUMBOLDTSTR. / OLLENHAUERSTR.,1,2016,11,13.3298114,52.56921,4068105-12305946-23125889
BARNABASSTR.,1,2016,11,13.2978965161301,52.6001638171743,19350057
BERENHORSTSTR. / ZOBELTITZSTR.,1,2016,11,13.3244403,52.5679264,8873639-11263882
BERLINER STR. / BERNAUER STR. / HOLZHAUSER STR. / SEIDELSTR. / BERNHARD-LICHTENB,1,2016,11,13.294710666666667,52.5763011,4537056-4568174-4569873-4588911
BERLINER STR. / BIEDENKOPFER STR.,1,2016,11,13.2918459,52.5799593,4588911-4796788
BERLINER STR. / ERNSTSTR. / AM BORSIGTURM,1,2016,11,13.2900057,52.5825572,4588911-4645235-4796771
BERLINER STR. / KAROLINENSTR. / SCHLOßSTR. / AM TEGELER HAFEN,1,2016,11,13.2824522,52.59089194999999,4588911-4645180-4796472-23099190
BERLINER STR. / NAMSLAUSTR.,1,2016,11,13.2931002,52.5787015,4588911-4796801
BERNAUER STR.,2,2016,11,13.2594356884283,52.5702316702088,4568174
BERNAUER STR. / MESCHEDER WEG,1,2016,11,13.2914774,52.5755173,4568174-4796775
BERNAUER STR. / SEIDELSTR.,1,2016,11,13.2946193,52.5761921,4537056-4568174
BERNAUER STR. / STRAßE L (HOKA III),1,2016,11,13.2492478,52.5523725,4568174-14484650
BIEDENKOPFER STR. / STERKRADER STR.,1,2016,11,13.2835953,52.5795651,4796784-4796788
BISONWEG,1,2016,11,13.2446766805024,52.6130410401745,18783886
BLANKESTR. / SCHARNWEBERSTR.,2,2016,11,13.329229,52.5634051,4067902-4675067
BORSIGDAMM,2,2016,11,13.2749557,52.5819031,4796515
BORSIGWALDER WEG / MIRAUSTR.,1,2016,11,13.3032979,52.5891287,4804097-25260861
