street,count,year,directorate,lat,lng,oneway_ratio,feature_count,feature_length,ride_length,features
ALT-HEILIGENSEE,2,2008,11,13.2125310214956,52.606811173843,0.08337316982299642,1,2223.88428197398,4262.35628204025,5046518
AM BORSIGTURM,1,2008,11,13.2857402461926,52.583705456957,0.4840656500215672,1,1418.16108778857,2149.839106781473,4796771
AM DACHSBAU,2,2008,11,13.2323851042371,52.6140588296981,0.0,1,1673.27415234776,3346.54830469552,5046979
AN DER MÜHLE / KAROLINENSTR. / WAIDMANNSLUSTER DAMM,2,2008,11,13.28081185,52.59383055,,3,,,4540101-4645180-4796341
ANTONIENSTR. / BREITENBACHSTR. / EICHBORNDAMM / MIRAUSTR.,1,2008,11,13.31527203448845,52.577909549905094,,4,,,4537077-4804097-8100317-26401499
AUGUSTE-VIKTORIA-ALLEE,2,2008,11,13.3188971633372,52.5706204886464,0.0,1,1528.27460768662,3056.54921537324,12305946
BASELER STR. / EMMENTALER STR.,1,2008,11,13.3526642,52.5678354,,2,,,4638304-4638312
BERLINER STR.,2,2008,11,13.2885986168966,52.5840442468817,0.9861818660635008,1,3967.50129861006,4022.324762947489,4588911
BERLINER STR. / EGELLSSTR. / WITTESTR.,4,2008,11,13.2912186,52.5810225,,3,,,4588911-4589063-4796769
BERLINER STR. / SCHLIEPERSTR.,1,2008,11,13.2862922,52.586973549999996,,2,,,4588911-4796494
BERLINER STR. / VEITSTR.,1,2008,11,13.2870266,52.5862081,,2,,,4588911-4796503
BERNAUER STR.,3,2008,11,13.259435689821,52.5702316728456,0.08110854415193171,1,6739.65062607703,12932.658001780297,4568174
BERNAUER STR. / STERKRADER STR.,1,2008,11,13.2850917,52.5756279,,2,,,4568174-4796784
BERNSTORFFSTR.,1,2008,11,13.2849082242383,52.5906380175957,0.03605644370223052,1,275.82681402012,541.708294048958,4796487
BOLLESTR.,1,2008,11,13.2972693798342,52.5924738000866,0.0,1,497.72946279262,995.45892558524,16355531
BORSIGWALDER WEG,1,2008,11,13.3008883959003,52.5871718175623,0.0,1,1262.78283925916,2525.56567851832,25260861
