street,count,year,directorate,lat,lng,oneway_ratio,feature_count,feature_length,ride_length,features
ALT-HEILIGENSEE,2,2012,11,13.2125310214956,52.606811173843,0.08337316982299642,1,2223.88428197398,4262.35628204025,5046518
ALT-HEILIGENSEE / FÄHRSTR. / DORFAUE HEILIGENSEE,1,2012,11,13.2108266,52.6070492,,2,,,5046518-32940800
ALT-HEILIGENSEE / HEILIGENSEESTR. / HENNIGSDORFER STR. / SCHULZENDORF,1,2012,11,13.217402725,52.6112437,,3,,,4645149-5046518-6235863
AM BÄRENSPRUNG / AN DER WILDBAHN / SCHNEEGANSWEG,1,2012,11,13.2435126,52.6085681,,3,,,5046984-18783888-21278814
AM NORDGRABEN / EICHBORNDAMM,4,2012,11,13.3241149,52.5876491,,2,,,4537077-4678210
AM NORDGRABEN / HOLZHAUSER STR.,1,2012,11,13.3191716,52.5876205,,2,,,4569873-4678210
AN DER MÜHLE / KAROLINENSTR. / WAIDMANNSLUSTER DAMM / FLIEßBRÜCKE,2,2012,11,13.28081185,52.59383055,,3,,,4540101-4645180-4796341
AN DER WILDBAHN,1,2012,11,13.2403515365632,52.6090334613971,0.0,1,1302.36849291085,2604.7369858217,5046984
ANDORNSTEIG / SCHULZENDORFER STR.,1,2012,11,13.243587640945801,52.6143046100484,,2,,,5026423-24716398
ANTONIENSTR. / KIENHORSTSTR.,1,2012,11,13.3131055,52.574798,,2,,,4067941-26401499
ANTONIENSTR. / SCHARNWEBERSTR. / A 111 BAB AUTOBAHNZUBRINGER HAMB,2,2012,11,13.3105684,52.5679469,,2,,,4068044-26401499
AROSER ALLEE / EMMENTALER STR. / GOTTHARDSTR.,2,2012,11,13.351202,52.56760225,,3,,,4581788-4638312-4804202
AROSER ALLEE / GRINDELWALDWEG,1,2012,11,13.3528887,52.5643775,,2,,,4581788-4638305
AROSER ALLEE / HOLLÄNDERSTR.,1,2012,11,13.3539599,52.5620932,,2,,,4581788-4610047
AROSER ALLEE / LINDAUER ALLEE,3,2012,11,13.352008099999999,52.5737367,,2,,,4067951-4581788
AROSER ALLEE / ZERMATTER STR.,1,2012,11,13.3521211,52.5659939,,2,,,4581788-4638309
AUGUSTE-VIKTORIA-ALLEE,1,2012,11,13.3188971633372,52.5706204886464,0.0,1,1528.27460768662,3056.54921537324,12305946
BASELER STR. / EMMENTALER STR.,1,2012,11,13.3526642,52.5678354,,2,,,4638304-4638312
BERLINER STR.,3,2012,11,13.2885986168966,52.5840442468817,0.9861818660635008,1,3967.50129861006,4022.324762947489,4588911
