street,count,year,directorate,lat,lng,oneway_ratio,feature_count,feature_length,ride_length,features
ALT-HEILIGENSEE,1,2018,11,13.2125310214956,52.606811173843,0.08337316982299642,1,2223.88428197398,4262.35628204025,5046518
ALT-REINICKENDORF / ROEDERNALLEE,2,2018,11,13.3477435,52.5758387,,2,,,4067922-4068065
AM BÄRENSPRUNG,1,2018,11,13.2449400738937,52.610261380144,0.0,1,424.062566868255,848.12513373651,21278814
AM BORSIGTURM,1,2018,11,13.2857402461926,52.583705456957,0.4840656500215672,1,1418.16108778857,2149.839106781473,4796771
AM DACHSBAU / RUPPINER CHAUSSEE,1,2018,11,13.2358602,52.6211396,,2,,,4795846-5046979
AM DACHSBAU / SCHULZENDORFER STR.,1,2018,11,13.2317361,52.6126793,,2,,,5026423-5046979
AM DACHSBAU / ZEISGENDORFER WEG,1,2018,11,13.2332935,52.6159389,,2,,,5046979-5047005
AM NORDGRABEN / EICHBORNDAMM,3,2018,11,13.3241149,52.5876491,,2,,,4537077-4678210
AM NORDGRABEN / TRIFTSTR. / TRIFTBRÜCKE,2,2018,11,13.3171179,52.5882254,,2,,,4678210-4766009
AN DER MÜHLE / KAROLINENSTR. / WAIDMANNSLUSTER DAMM / FLIEßBRÜCKE,2,2018,11,13.28081185,52.59383055,,3,,,4540101-4645180-4796341
ANTONIENSTR.,1,2018,11,13.3125896827053,52.5733895514657,1.0,1,1199.30549179144,1199.30549179144,26401499
ANTONIENSTR. / EICHBORNDAMM / MIRAUSTR.,2,2018,11,13.31567995,52.577957049999995,,3,,,4537077-4804097-26401499
ANTONIENSTR. / SCHARNWEBERSTR. / A 111 BAB AUTOBAHNZUBRINGER HAMBURG / 111 AS EI,2,2018,11,13.3105684,52.5679469,,2,,,4068044-26401499
ANTONIENSTR. / WITTESTR.,1,2018,11,13.3141432,52.5767033,,2,,,4589063-26401499
AROSER ALLEE / EMMENTALER STR. / GOTTHARDSTR.,1,2018,11,13.351202,52.56760225,,3,,,4581788-4638312-4804202
AROSER ALLEE / HOLLÄNDERSTR.,4,2018,11,13.3539599,52.5620932,,2,,,4581788-4610047
