street,count,year,directorate,lat,lng,oneway_ratio,feature_count,feature_length,ride_length,features
AM BÄRENSPRUNG / AN DER WILDBAHN / SCHNEEGANSWEG,1,2011,11,13.2435126,52.6085681,,3,,,5046984-18783888-21278814
AM DACHSBAU / RUPPINER CHAUSSEE,1,2011,11,13.2358602,52.6211396,,2,,,4795846-5046979
AM DACHSBAU / SCHULZENDORFER STR.,1,2011,11,13.2317361,52.6126793,,2,,,5026423-5046979
AN DER MÜHLE / KAROLINENSTR. / WAIDMANNSLUSTER DAMM,1,2011,11,13.28081185,52.59383055,,3,,,4540101-4645180-4796341
AN DER SCHNEISE / IM ERPELGRUND,1,2011,11,13.248222,52.6052675,,2,,,5046980-5046991
ANTONIENSTR.,1,2011,11,13.3125896827053,52.5733895514657,1.0,1,1199.30549179144,1199.30549179144,26401499
AROSER ALLEE / HOLLÄNDERSTR.,2,2011,11,13.3539599,52.5620932,,2,,,4581788-4610047
AROSER ALLEE / LINDAUER ALLEE,1,2011,11,13.352008099999999,52.5737367,,2,,,4067951-4581788
AUGUSTE-VIKTORIA-ALLEE,1,2011,11,13.3188971633372,52.5706204886464,0.0,1,1528.27460768662,3056.54921537324,12305946
AUGUSTE-VIKTORIA-ALLEE / EICHBORNDAMM,1,2011,11,13.3132124,52.5714168,,2,,,4537077-12305946
AUGUSTE-VIKTORIA-ALLEE / GENERAL-WOYNA-STR.,1,2011,11,13.3160883,52.5709937,,2,,,4537083-12305946
AUGUSTE-VIKTORIA-ALLEE / HUMBOLDTSTR. / OLLENHAUERSTR.,2,2011,11,13.3298114,52.56921,,3,,,4068105-12305946-23125889
BERLINER STR.,4,2011,11,13.2885986168966,52.5840442468817,0.9861818660635008,1,3967.50129861006,4022.324762947489,4588911
BERLINER STR. / BIEDENKOPFER STR.,1,2011,11,13.2918459,52.5799593,,2,,,4588911-4796788
BERLINER STR. / EGELLSSTR. / WITTESTR.,1,2011,11,13.2912186,52.5810225,,3,,,4588911-4589063-4796769
BERLINER STR. / GRUßDORFSTR.,1,2011,11,13.2847547,52.5886209,,2,,,4588911-4588918
BERLINER STR. / KAROLINENSTR. / SCHLOßSTR. / AM TEGELER HAFEN,2,2011,11,13.2824522,52.59089194999999,,4,,,4588911-4645180-4796472-23099190
BERLINER STR. / NAMSLAUSTR.,1,2011,11,13.2931002,52.5787015,,2,,,4588911-4796801
BERLINER STR. / SCHLIEPERSTR.,1,2011,11,13.2862922,52.586973549999996,,2,,,4588911-4796494
BERNAUER STR.,3,2011,11,13.259435689821,52.5702316728456,0.08110854415193171,1,6739.65062607703,12932.658001780297,4568174
BERNAUER STR. / MESCHEDER WEG,1,2011,11,13.2914774,52.5755173,,2,,,4568174-4796775
BERNAUER STR. / SEIDELSTR.,1,2011,11,13.2946193,52.5761921,,2,,,4537056-4568174
BILLERBECKER WEG,1,2011,11,13.2813591014206,52.5745059327999,0.0,1,1381.35585586632,2762.71171173264,4796897
BLANKESTR.,1,2011,11,13.3301784676698,52.5640512528826,0.0,1,284.258198742061,568.516397484122,4675067
BLANKESTR. / SCHARNWEBERSTR.,2,2011,11,13.329229,52.5634051,,2,,,4068044-4675067
BORSIGDAMM / NEHEIMER STR. / UFERPROMENADE BORSIGDAMM,1,2011,11,13.2758168,52.5776576,,2,,,4796515-4796779
BORSIGWALDER WEG / LADEBURGER WEG / TIETZSTR.,1,2011,11,13.300971486309475,52.58724574143345,,3,,,4645229-8100381-25260861
BUDDESTR. / WAIDMANNSLUSTER DAMM,3,2011,11,13.2842703,52.5944326,,2,,,4540101-4804125
EICHBORNDAMM,3,2011,11,13.3208638337429,52.5839862620854,0.4134086255837759,1,3698.30618957787,5867.7007003343815,4537077
EICHBORNDAMM / PANNWITZSTR.,1,2011,11,13.3161708,52.57855,,2,,,4537077-4678202
ERNSTSTR.,1,2011,11,13.299272985347,52.5830806588566,0.0,1,1113.46806790149,2226.93613580298,4645235
ESCHACHSTR.,1,2011,11,13.2894236224757,52.589892498165,0.0,1,1254.56669445332,2509.13338890664,25412919
FLOTTENSTR. / ROEDERNALLEE,1,2011,11,13.3472958,52.5784973,,2,,,4068065-37142126
FRIEDERIKESTR. / JÖRSSTR.,1,2011,11,13.2290979,52.5732735,,2,,,5046356-35576538
GENERAL-BARBY-STR.,1,2011,11,13.3183798961769,52.5719789348874,0.0,1,1186.5093777501,2373.0187555002,4537082
GENERAL-WOYNA-STR. / SCHARNWEBERSTR.,1,2011,11,13.3146625,52.5673317,,2,,,4068044-4537083
GORKISTR.,2,2011,11,13.3005961096969,52.5914608921347,0.16105742346442578,1,3255.85259364019,5987.325957368724,4765928
GOTTHARDSTR.,1,2011,11,13.3422468866313,52.5665333933204,0.43902473147089566,1,1952.92783767457,3048.4720558320246,4804202
GOTTHARDSTR. / KAPWEG / SCHARNWEBERSTR.,1,2011,11,13.330549099999999,52.562529025,,3,,,4068044-4071978-4804202
GOTTHARDSTR. / TEICHSTR.,1,2011,11,13.3466217,52.5669564,,2,,,4546470-4804202
GRUßDORFSTR.,1,2011,11,13.2864052285953,52.5887545627543,1.0,1,248.969058732098,248.969058732098,4588918
HEILIGENSEESTR.,3,2011,11,13.2465312233497,52.6011050090075,0.1792333880201836,1,4851.81349262246,8834.020014920157,4645149
HEILIGENSEESTR. / NORDDORFER PFAD,1,2011,11,13.2275662,52.606974,,2,,,4645149-24720479
HEILIGENSEESTR. / REIHERALLEE,1,2011,11,13.2388315,52.6025672,,2,,,4645149-30813769
HEILIGENSEESTR. / SCHWARZER WEG,1,2011,11,13.28810745,52.5837371,,2,,,4645149-6928719
HELMKRAUTSTR.,1,2011,11,13.2380156465356,52.615637011077,0.0,1,628.669651254212,1257.339302508424,5047016
HERMSDORFER DAMM / WAIDMANNSLUSTER DAMM / A 111 BAB AUTOBAHNZUBRINGER HAMBURG /,3,2011,11,13.285462,52.5949833,,2,,,4540101-4540161
HOLLÄNDERSTR. / SEPTIMERSTR.,1,2011,11,13.3385885,52.5642768,,2,,,4610047-5089136
HOLZHAUSER STR.,5,2011,11,13.3062486642159,52.5823837393857,0.6597659538650835,1,3163.07281063474,4239.25787121634,4569873
HOLZHAUSER STR. / MIRAUSTR.,1,2011,11,13.3095308,52.5839233,,2,,,4569873-4804097
HOLZHAUSER STR. / WITTESTR.,1,2011,11,13.2995817,52.5790901,,2,,,4569873-4589063
HUMBOLDTSTR. / KLAMANNSTR.,1,2011,11,13.3392222,52.5719402,,2,,,4068105-4675216
HUMBOLDTSTR. / LINDAUER ALLEE,2,2011,11,13.345956,52.5745518,,2,,,4067951-4068105
JUPITERSTR. / METEORSTR.,1,2011,11,13.317944,52.5638007,,2,,,4540032-4706739
KAROLINENSTR.,1,2011,11,13.2795871857301,52.5947514621317,0.7148509938963811,1,1738.74724331566,2234.5492916125277,4645180
LINDAUER ALLEE,1,2011,11,13.3455363011322,52.574611404745,1.0,1,3707.63256135087,3707.63256135087,4067951
LINDAUER ALLEE / OLLENHAUERSTR. / WALDSTR.,1,2011,11,13.33210445,52.575437550000004,,3,,,4067951-4706735-23125889
LINDAUER ALLEE / ROEDERNALLEE / TEICHSTR.,1,2011,11,13.347835025,52.574351975,,3,,,4067951-4068065-4546470
MIRAUSTR.,1,2011,11,13.3087495157459,52.5845682707444,0.0,1,1806.82137983957,3613.64275967914,4804097
NEHEIMER STR.,2,2011,11,13.2756546035245,52.5776386468737,0.0,1,869.976974699747,1739.953949399494,4796779
OESERSTR. / STILLACHZEILE / ZIEKOWSTR.,1,2011,11,13.2924684,52.5895809,,3,,,4645177-4645238-31695821
OLLENHAUERSTR.,3,2011,11,13.3305015390962,52.5711561820266,1.0,1,3074.16741653692,3074.16741653692,23125889
OLLENHAUERSTR. / VON-DER-GABLENTZ-STR.,1,2011,11,13.3284647,52.565414,,2,,,10737928-23125889
OTISSTR. / SEIDELSTR. / ALLÉE ST. EXUPÉRY,2,2011,11,13.2996311,52.56977155,,3,,,4537056-4801741-24802099
ROEDERNALLEE,1,2011,11,13.3430967289215,52.5840282275831,0.33835249206134144,1,3150.7399577959,5235.4191990343115,4068065
ROEDERNALLEE / THYSSENSTR.,1,2011,11,13.3455177,52.580758,,2,,,4068065-19200013
RUPPINER CHAUSSEE,9,2011,11,13.2482456459044,52.6126850780797,0.007696745509965465,1,6695.56534883856,13339.596635141766,4795846
RUPPINER CHAUSSEE / SCHULZENDORFER STR. / ZUR BAB A111-E26,1,2011,11,13.2448978,52.6144116,,2,,,4795846-5026423
SANDHAUSER STR.,1,2011,11,13.220914,52.594729,0.0,1,2279.61141786366,4559.22283572732,94712497
SCHARNWEBERSTR.,5,2011,11,13.3189223707098,52.5662213610136,0.9889977906786499,1,3666.33707636706,3706.6748843238765,4068044
SCHUBARTSTR.,1,2011,11,13.3027372172933,52.5842311691016,0.0,1,618.137342675196,1236.274685350392,4645231
SCHULZENDORFER STR.,1,2011,11,13.2325869118787,52.6127845393614,0.0,1,2179.21718453847,4358.43436907694,5026423
TALSANDWEG,1,2011,11,13.300730904562,52.5980635350328,0.8198480423889167,1,256.270744947794,302.43842132858975,16355207
TEICHSTR.,1,2011,11,13.347129823803,52.5705650325979,0.0,1,823.690446567782,1647.380893135564,4546470
TIETZSTR.,1,2011,11,13.3037819584091,52.5848942330775,0.0,1,644.298821429653,1288.597642859306,8100381
TITUSWEG / WAIDMANNSLUSTER DAMM / ZIEKOWSTR.,1,2011,11,13.2916551,52.5960287,,3,,,4540101-4645177-4802120
WALDSTR.,3,2011,11,13.3235606019999,52.575817356241,0.47603977225563504,1,1518.0089965713,2313.3853361327933,4706735
WITTESTR.,3,2011,11,13.3027221495472,52.5779972177316,0.2343971419123569,1,1951.38360236388,3445.3684655590273,4589063
ALT-WITTENAU,2,2011,12,13.3283944285671,52.5914118045024,0.6367579562252365,1,1958.52546370384,2669.944255924539,4765745
ALT-WITTENAU / EICHBORNDAMM,2,2011,12,13.3263192,52.5916679,,2,,,4537077-4765745
AM EICHENHAIN,1,2011,12,13.2657753737473,52.6333486033053,0.0,1,1772.59473187974,3545.18946375948,16857791
AM FREIBAD,1,2011,12,13.3335349854844,52.6191140955264,0.0,1,932.139144634235,1864.27828926847,30705440
AM NORDGRABEN / ORANIENBURGER STR. / ORANIENBURGER BRÜCKE,3,2011,12,13.334583649999999,52.58742595,,2,,,4071964-4678210
AM PFINGSTBERG,2,2011,12,13.3024236676731,52.6264147853765,0.0,1,557.139327796499,1114.278655592998,4804916
AM STEINBERGPARK,1,2011,12,13.3129359281096,52.5950291351289,0.0,1,684.520769090877,1369.041538181754,4765950
AM VIERRUTENBERG / ZABEL-KRÜGER-DAMM,1,2011,12,13.3438928,52.613506,,2,,,4802391-4802406
AM WAIDMANNSECK / HERMSDORFER STR.,1,2011,12,13.3260237,52.6039656,,2,,,4765947-4766071
AMBOßWEG / WILHELMSRUHER DAMM,1,2011,12,13.3362992,52.5956651,,2,,,4765110-4765660
AMENDESTR.,1,2011,12,13.3691434651511,52.5687017479048,0.0,1,1067.01300016548,2134.02600033096,4637899
