year,directorate,street,count
2012,11,ALT-HEILIGENSEE,2
2012,11,ALT-HEILIGENSEE / FÄHRSTR. / DORFAUE HEILIGENSEE,1
2012,11,ALT-HEILIGENSEE / HEILIGENSEESTR. / HENNIGSDORFER STR. / SCHULZENDORF,1
2012,11,AM BÄRENSPRUNG / AN DER WILDBAHN / SCHNEEGANSWEG,1
2012,11,AM NORDGRABEN / EICHBORNDAMM,4
2012,11,AM NORDGRABEN / HOLZHAUSER STR.,1
2012,11,AN DER MÜHLE / KAROLINENSTR. / WAIDMANNSLUSTER DAMM / FLIEßBRÜCKE,2
2012,11,AN DER WILDBAHN,1
2012,11,ANDORNSTEIG / SCHULZENDORFER STR.,1
2012,11,ANTONIENSTR. / KIENHORSTSTR.,1
2012,11,ANTONIENSTR. / SCHARNWEBERSTR. / A 111 BAB AUTOBAHNZUBRINGER HAMB,2
2012,11,AROSER ALLEE / EMMENTALER STR. / GOTTHARDSTR.,2
2012,11,AROSER ALLEE / GRINDELWALDWEG,1
2012,11,AROSER ALLEE / HOLLÄNDERSTR.,1
2012,11,AROSER ALLEE / LINDAUER ALLEE,3
2012,11,AROSER ALLEE / ZERMATTER STR.,1
2012,11,AUGUSTE-VIKTORIA-ALLEE,1
2012,11,BASELER STR. / EMMENTALER STR.,1
2012,11,BERLINER STR.,3
2012,11,BERLINER STR. / BERNAUER STR. / HOLZHAUSER STR. / SEIDELSTR. / BERNHARD,3
2012,11,BERLINER STR. / BRUNOWSTR.,1
2012,11,BERLINER STR. / GORKISTR.,1
2012,11,BERLINER STR. / KAROLINENSTR. / SCHLOßSTR. / AM TEGELER HAFEN,1
2012,11,BERLINER STR. / NAMSLAUSTR.,3
2012,11,BERLINER STR. / VEITSTR.,1
2012,11,BERNAUER STR.,1
2012,11,BERNAUER STR. / STERKRADER STR.,2
2012,11,BLANKESTR. / SCHARNWEBERSTR.,1
2012,11,BORSIGDAMM,1
2012,11,BORSIGDAMM / EISENHAMMERWEG / VEITSTR.,1
2012,11,BORSIGWALDER WEG,1
2012,11,BORSIGWALDER WEG / RÄUSCHSTR.,1
2012,11,BOTTROPER WEG,1
2012,11,BREITENBACHSTR. / MIRAUSTR.,1
2012,11,BUDDESTR.,1
2012,11,BUDDESTR. / GORKISTR.,1
2012,11,DACHEROEDENSTR. / GABRIELENSTR.,1
2012,11,DÜNENWEG / WAIDMANNSLUSTER DAMM,1
2012,11,EGIDYSTR. / WAIDMANNSLUSTER DAMM,1
2012,11,EICHBORNDAMM,2
2012,11,EICHBORNDAMM / KIENHORSTSTR.,1
2012,11,EICHBORNDAMM / WALDSTR. / WITTESTR.,1
2012,11,EMMENTALER STR.,1
2012,11,ERHOLUNGSWEG,1
2012,11,ERNSTSTR. / KLINNERWEG,1
2012,11,FINNENTROPER WEG,1
2012,11,GAMBINER WEG / KIEFHEIDER WEG,1
2012,11,GENERAL-BARBY-STR.,1
2012,11,GENERAL-BARBY-STR. / SCHARNWEBERSTR.,1
2012,11,GENERAL-BARBY-STR. / WALDSTR.,1
2012,11,GENERAL-WOYNA-STR. / SCHARNWEBERSTR.,1
2012,11,GORKISTR.,1
2012,11,GORKISTR. / ZIEKOWSTR.,1
2012,11,GOTTHARDSTR.,1
2012,11,GOTTHARDSTR. / HOLLÄNDERSTR.,1
