year,directorate,street,count
2013,11,ALT-HEILIGENSEE,1
2013,11,ALT-HEILIGENSEE / FÄHRSTR. / DORFAUE HEILIGENSEE,2
2013,11,AM NORDGRABEN / EICHBORNDAMM,3
2013,11,ANTONIENSTR. / SCHARNWEBERSTR. / A 111 BAB AUTOBAHNZUBRINGER HAMBURG / 111 AS EI,3
2013,11,AROSER ALLEE / HOLLÄNDERSTR.,2
2013,11,AROSER ALLEE / LINDAUER ALLEE,1
2013,11,AROSER ALLEE / ZERMATTER STR.,1
2013,11,BERLINER STR.,2
2013,11,BERLINER STR. / BRUNOWSTR.,1
2013,11,BERLINER STR. / GORKISTR.,1
2013,11,BERLINER STR. / VEITSTR.,1
2013,11,BERNAUER STR.,2
2013,11,BERNAUER STR. / STERKRADER STR.,1
2013,11,BORSIGWALDER WEG,1
2013,11,BUDDESTR.,3
2013,11,BUDDESTR. / GORKISTR.,1
2013,11,EGIDYSTR. / WAIDMANNSLUSTER DAMM,1
2013,11,EICHBORNDAMM,2
2013,11,GENERAL-BARBY-STR.,2
2013,11,GOTTHARDSTR.,1
2013,11,GOTTHARDSTR. / KAPWEG / SCHARNWEBERSTR.,1
2013,11,GOTTHARDSTR. / TEICHSTR.,2
2013,11,HENNIGSDORFER STR.,1
2013,11,HERMSDORFER DAMM / WAIDMANNSLUSTER DAMM / A 111 BAB AUTOBAHNZUBRINGER HAMBURG /,1
2013,11,HOLZHAUSER STR.,2
2013,11,KAPWEG,2
2013,11,KURT-SCHUMACHER-DAMM / OLLENHAUERSTR. / SCHARNWEBERSTR. / KURT- SCHUMACHER-PLATZ,2
2013,11,KURT-SCHUMACHER-DAMM / RUE AMBROISE PARÉ / A 111 BAB AUTOBAHNZUBRINGER HAMBURG /,1
2013,11,KURT-SCHUMACHER-DAMM / RUE CHARLES CALMETTE / ROBERT-SCHUMAN-BRÜCKE,1
2013,11,OLLENHAUERSTR.,2
2013,11,OTISSTR. / SEIDELSTR. / ALLÉE ST. EXUPÉRY,2
2013,11,PLATENHOFER WEG,1
2013,11,ROEDERNALLEE,2
2013,11,RUPPINER CHAUSSEE,3
2013,11,SCHARNWEBERSTR.,8
2013,11,SCHULZENDORFER STR.,1
2013,11,WAIDMANNSLUSTER DAMM,1
2013,11,WALDSTR.,4
2013,11,WITTESTR.,3
2013,11,ZUFAHRT Z. FLUGHAFEN TEGEL,2
2013,11,ALT-TEGEL,1
2013,11,AROSER ALLEE / SCHILLERRING,1
2013,11,DAMBOCKSTR.,1
2013,11,GORKISTR. / MIRAUSTR.,1
2013,11,HOLZHAUSER STR. / A 111 BAB AUTOBAHNZUBRINGER HAMBURG / 111 AS HOLZHAUSER STR AU,2
2013,11,JACOBSENWEG,3
2013,11,KAPWEG / KURT-SCHUMACHER-DAMM,1
2013,11,KIEFHEIDER WEG,3
2013,11,KURZEBRACKER WEG,1
2013,11,MATTENBUDER PFAD / PLATENHOFER WEG,1
2013,11,MIRAUSTR.,1
2013,11,RUPPINER CHAUSSEE / STOLPMÜNDER WEG,1
2013,11,AROSER ALLEE,2
2013,11,BERLINER STR. / EGELLSSTR. / WITTESTR.,1
2013,11,BERNAUER STR. / OELDER WEG,1
2013,11,BERNSTORFFSTR.,1
2013,11,BORSIGWALDER WEG / ERNSTSTR.,1
2013,11,BUDDESTR. / GRUßDORFSTR.,1
2013,11,ELCHDAMM,2
2013,11,HATZFELDTALLEE / ZIEKOWSTR.,1
2013,11,HUMBOLDTSTR.,1
2013,11,INNUNGSSTR. / OTISSTR. / WITTESTR.,1
2013,11,SANDHAUSER STR.,1
2013,11,SCHILLINGSTR.,1
2013,11,AM BÄRENSPRUNG,1
2013,11,AM TEGELER HAFEN,2
2013,11,ANTONIENSTR.,2
2013,11,ANTONIENSTR. / EICHBORNDAMM / MIRAUSTR.,1
2013,11,BERNAUER STR. / STRAßE L (HOKA III),1
2013,11,BRUSEBERGSTR. / HUMBOLDTSTR.,1
2013,11,EICHBORNDAMM / HERMANN-PIPER-STR.,1
2013,11,EICHBORNDAMM / SCHARNWEBERSTR. / A 111 BAB AUTOBAHNZUBRINGER HAMBURG / 111 AS EI,1
2013,11,KRANTORWEG,1
2013,11,RUPPINER CHAUSSEE / ZIEGENORTER PFAD,1
2013,11,SAALMANNSTR. / WALDSTR.,1
2013,11,SINGDROSSELSTEIG,1
2013,11,ALT-REINICKENDORF / ROEDERNALLEE / VELTENER STR.,2
2013,11,ALTER WIESENWEG,1
2013,11,AM DACHSBAU / HEILIGENSEESTR.,1
2013,11,AM DOGGELHOF / ENGELMANNWEG,1
2013,11,AN DER WILDBAHN / DAMBOCKSTR.,2
2013,11,BORSIGDAMM / NEHEIMER STR. / UFERPROMENADE BORSIGDAMM,1
2013,11,GENERAL-WOYNA-STR. / HUMANNSTR. / KIENHORSTSTR.,1
2013,11,GRUßDORFSTR.,2
2013,11,HATZFELDTALLEE / MARZAHNSTR.,1
2013,11,HEILIGENSEESTR.,2
2013,11,HEILIGENSEESTR. / REIHERALLEE,1
2013,11,HUMBOLDTSTR. / LINDAUER ALLEE,1
2013,11,NEHEIMER STR.,2
2013,11,SCHARNWEBERSTR. / URANUSWEG,1
2013,11,ALTENHOFER WEG,1
2013,11,BERENHORSTSTR.,1
2013,11,BISONWEG / SCHULZENDORFER STR.,1
2013,11,HECHELSTR. / SCHARNWEBERSTR.,1
2013,11,HOLZHAUSER STR. / TIETZSTR.,1
2013,11,INNUNGSSTR. / MIRAUSTR.,1
2013,11,NORDLICHTSTR. / STRAßE 442 / STRAßE 443,1
2013,12,ALT-WITTENAU,1
2013,12,AM NORDGRABEN / ROEDERNALLEE / ROEDERNBRÜCKE,1
2013,12,AMENDESTR.,1
2013,12,BERLINER STR.,3
2013,12,BERLINER STR. / BURGFRAUENSTR. / VELTHEIMSTR.,1
2013,12,BERLINER STR. / WALDSEEWEG,1
2013,12,DANNENWALDER WEG / TREUENBRIETZENER STR. / WILHELMSRUHER DAMM,1
2013,12,DIANASTR. / ORANIENDAMM / ZEHNTWERDERWEG,1
2013,12,EICHBORNDAMM,1
2013,12,EICHBORNDAMM / ORANIENBURGER STR. / WILHELMSRUHER DAMM,2
2013,12,EMMENTALER STR.,3
2013,12,FINSTERWALDER STR.,1
2013,12,FLOTTENSTR. / STEGEWEG / MARKSCHEIDERSTR.,1
2013,12,FÜRSTENDAMM,1
2013,12,GOLLANCZSTR.,1
2013,12,HERMSDORFER DAMM,2
2013,12,HERMSDORFER STR.,2
2013,12,HERMSDORFER STR. / AVENUE CHARLES DE GAULLE,1
2013,12,HOLLÄNDERSTR. / MARKSTR.,2
2013,12,HOLLÄNDERSTR. / WINKELRIEDSTR.,1
2013,12,JEAN-JAURÈS-STR.,1
2013,12,KÖNIGSHORSTER STR. / WILHELMSRUHER DAMM,1
2013,12,KOPENHAGENER STR.,1
2013,12,MARKSTR.,3
2013,12,MARKSTR. / PANKOWER ALLEE / RESIDENZSTR.,2
2013,12,ORANIENBURGER STR.,8
2013,12,ORANIENDAMM,2
2013,12,ORANIENDAMM / WAIDMANNSLUSTER DAMM / ZABEL-KRÜGER-DAMM,4
2013,12,PROVINZSTR.,2
2013,12,QUICKBORNER STR.,3
2013,12,REGINHARDSTR.,1
2013,12,RESIDENZSTR.,10
2013,12,RESIDENZSTR. / RITTERLANDWEG,1
2013,12,ROEDERNALLEE,5
2013,12,SENFTENBERGER RING,3
2013,12,TRIFTSTR.,1
2013,12,WAIDMANNSLUSTER DAMM,3
2013,12,WILHELMSRUHER DAMM,6
2013,12,ZABEL-KRÜGER-DAMM,3
2013,12,ZELTINGER STR.,1
2013,12,ZERPENSCHLEUSER RING / QUICKBORNER STR.,1
2013,12,ALT-LÜBARS / ZABEL-KRÜGER-DAMM,1
2013,12,AM NORDGRABEN,1
2013,12,DIANASTR. / DÜSTERHAUPTSTR.,1
2013,12,DRONTHEIMER STR. / RITTERLANDWEG / SOLDINER STR. / PROVINZSTR.,1
2013,12,EDELHOFDAMM,1
2013,12,FALKENTALER STEIG / HEINSESTR. / HERMSDORFER DAMM,1
2013,12,HAßLINGERWEG,1
2013,12,LÜBARSER STR. / ORANIENBURGER STR.,1
2013,12,NACH DER HÖHE,1
2013,12,NACH DER HÖHE / WAIDMANNSLUSTER DAMM,1
2013,12,ORANIENBURGER STR. / RATHAUSPROMENADE / TESSENOWSTR.,1
2013,12,STEINKIRCHENER STR.,1
2013,12,TREUENBRIETZENER STR.,1
2013,12,ZELTINGER PLATZ / FROHNAUER BRÜCKE,1
2013,12,ALEMANNENSTR. / SIGISMUNDKORSO,1
2013,12,ALT-WITTENAU / ORANIENBURGER STR.,1
2013,12,BERLINER STR. / ODILOSTR.,1
2013,12,EICHHORSTER WEG,1
2013,12,FROHNAUER STR.,1
2013,12,HOLLÄNDERSTR. / VIERWALDSTÄTTER WEG,1
2013,12,KARMELITERWEG,1
2013,12,LENGEDER STR. / KOPENHAGENER STR.,2
2013,12,MARKSTR. / WALDERSEESTR.,1
2013,12,MITTELBRUCHZEILE / PROVINZSTR.,1
2013,12,PANKOWER ALLEE,1
2013,12,ROEDERNALLEE / TESSENOWSTR.,1
2013,12,SCHLUCHSEESTR.,1
2013,12,SEEBADSTR.,1
2013,12,SOMMERSTR.,1
2013,12,SOMMERSTR. / KLEMKESTR.,1
2013,12,ALEMANNENSTR. / MAXIMILIANKORSO,1
2013,12,ALT-WITTENAU / EICHBORNDAMM,3
2013,12,ARTEMISSTR.,1
2013,12,BERLINER STR. / ORANIENDAMM / ORANIENDAMMBRÜCKE,1
2013,12,BERTASTR. / SCHILDOWER STR.,1
2013,12,BORGSDORFER STR.,1
2013,12,CALAUER STR. / FINSTERWALDER STR.,1
2013,12,DIETRICHINGER WEG / ORANIENBURGER STR. / WITTENAUER STR.,2
2013,12,EICHHORSTER WEG / SCHORFHEIDESTR. / WILHELMSRUHER DAMM,1
2013,12,EMMENTALER STR. / THURGAUER STR.,1
2013,12,KOSSÄTENSTR. / ORANIENBURGER STR.,2
2013,12,KÖNIGSHORSTER STR.,1
2013,12,LUDOLFINGERPLATZ / FROHNAUER BRÜCKE,1
2013,12,MARKGRAFENSTR. / ZELTINGER STR.,1
2013,12,SENFTENBERGER RING / STRAUPITZER STEIG,1
2013,12,ZEHNTWERDERWEG,1
2013,12,AMENDESTR. / RESIDENZSTR.,2
2013,12,BÜDNERRING / REGINHARDSTR.,1
2013,12,EICHHORSTER WEG / FINSTERWALDER STR.,1
2013,12,GORKISTR. / AM STEINBERGPARK,1
2013,12,HAUSOTTERSTR. / RESIDENZSTR. / STARGARDTSTR.,1
2013,12,HERMSDORFER DAMM / MARTIN-LUTHER-STR.,1
2013,12,HORANDWEG,1
2013,12,KÜHNEMANNSTR. / SCHWABSTR. / PROVINZSTR.,2
2013,12,RASCHDORFFSTR. / RESIDENZSTR. / THATERSTR.,1
2013,12,REGINHARDSTR. / RITTERLANDWEG,1
2013,12,ULMENSTR.,1
