year,directorate,street,count
2011,11,AM BÄRENSPRUNG / AN DER WILDBAHN / SCHNEEGANSWEG,1
2011,11,AM DACHSBAU / RUPPINER CHAUSSEE,1
2011,11,AM DACHSBAU / SCHULZENDORFER STR.,1
2011,11,AN DER MÜHLE / KAROLINENSTR. / WAIDMANNSLUSTER DAMM,1
2011,11,AN DER SCHNEISE / IM ERPELGRUND,1
2011,11,ANTONIENSTR.,1
2011,11,AROSER ALLEE / HOLLÄNDERSTR.,2
2011,11,AROSER ALLEE / LINDAUER ALLEE,1
2011,11,AUGUSTE-VIKTORIA-ALLEE,1
2011,11,AUGUSTE-VIKTORIA-ALLEE / EICHBORNDAMM,1
2011,11,AUGUSTE-VIKTORIA-ALLEE / GENERAL-WOYNA-STR.,1
2011,11,AUGUSTE-VIKTORIA-ALLEE / HUMBOLDTSTR. / OLLENHAUERSTR.,2
2011,11,BERLINER STR.,4
2011,11,BERLINER STR. / BIEDENKOPFER STR.,1
2011,11,BERLINER STR. / EGELLSSTR. / WITTESTR.,1
2011,11,BERLINER STR. / GRUßDORFSTR.,1
2011,11,BERLINER STR. / KAROLINENSTR. / SCHLOßSTR. / AM TEGELER HAFEN,2
2011,11,BERLINER STR. / NAMSLAUSTR.,1
2011,11,BERLINER STR. / SCHLIEPERSTR.,1
2011,11,BERNAUER STR.,3
2011,11,BERNAUER STR. / MESCHEDER WEG,1
2011,11,BERNAUER STR. / SEIDELSTR.,1
2011,11,BILLERBECKER WEG,1
2011,11,BLANKESTR.,1
2011,11,BLANKESTR. / SCHARNWEBERSTR.,2
2011,11,BORSIGDAMM / NEHEIMER STR. / UFERPROMENADE BORSIGDAMM,1
2011,11,BORSIGWALDER WEG / LADEBURGER WEG / TIETZSTR.,1
2011,11,BUDDESTR. / WAIDMANNSLUSTER DAMM,3
2011,11,EICHBORNDAMM,3
2011,11,EICHBORNDAMM / PANNWITZSTR.,1
2011,11,ERNSTSTR.,1
2011,11,ESCHACHSTR.,1
2011,11,FLOTTENSTR. / ROEDERNALLEE,1
2011,11,FLUGPLATZ TEGEL,1
2011,11,FRIEDERIKESTR. / JÖRSSTR.,1
2011,11,GENERAL-BARBY-STR.,1
2011,11,GENERAL-WOYNA-STR. / SCHARNWEBERSTR.,1
2011,11,GORKISTR.,2
2011,11,GOTTHARDSTR.,1
2011,11,GOTTHARDSTR. / KAPWEG / SCHARNWEBERSTR.,1
2011,11,GOTTHARDSTR. / TEICHSTR.,1
2011,11,GRUßDORFSTR.,1
2011,11,HEILIGENSEESTR.,3
2011,11,HEILIGENSEESTR. / NORDDORFER PFAD,1
2011,11,HEILIGENSEESTR. / REIHERALLEE,1
2011,11,HEILIGENSEESTR. / SCHWARZER WEG,1
2011,11,HELMKRAUTSTR.,1
2011,11,HERMSDORFER DAMM / WAIDMANNSLUSTER DAMM / A 111 BAB AUTOBAHNZUBRINGER HAMBURG /,3
2011,11,HOLLÄNDERSTR. / SEPTIMERSTR.,1
2011,11,HOLZHAUSER STR.,5
2011,11,HOLZHAUSER STR. / MIRAUSTR.,1
2011,11,HOLZHAUSER STR. / WITTESTR.,1
2011,11,HUMBOLDTSTR. / KLAMANNSTR.,1
2011,11,HUMBOLDTSTR. / LINDAUER ALLEE,2
2011,11,JUPITERSTR. / METEORSTR.,1
2011,11,KAROLINENSTR.,1
2011,11,KIENHORSTPARK,1
2011,11,LINDAUER ALLEE,1
2011,11,LINDAUER ALLEE / OLLENHAUERSTR. / WALDSTR.,1
2011,11,LINDAUER ALLEE / ROEDERNALLEE / TEICHSTR.,1
2011,11,MIRAUSTR.,1
2011,11,NEHEIMER STR.,2
2011,11,OESERSTR. / STILLACHZEILE / ZIEKOWSTR.,1
2011,11,OLLENHAUERSTR.,3
2011,11,OLLENHAUERSTR. / VON-DER-GABLENTZ-STR.,1
2011,11,OTISSTR. / SEIDELSTR. / ALLÉE ST. EXUPÉRY,2
2011,11,ROEDERNALLEE,1
2011,11,ROEDERNALLEE / THYSSENSTR.,1
2011,11,RUPPINER CHAUSSEE,9
2011,11,RUPPINER CHAUSSEE / SCHULZENDORFER STR. / ZUR BAB A111-E26,1
2011,11,SANDHAUSER STR.,1
2011,11,SCHARNWEBERSTR.,5
2011,11,SCHUBARTSTR.,1
2011,11,SCHULZENDORFER STR.,1
2011,11,TALSANDWEG,1
2011,11,TEICHSTR.,1
2011,11,TIETZSTR.,1
2011,11,TITUSWEG / WAIDMANNSLUSTER DAMM / ZIEKOWSTR.,1
2011,11,WALDSTR.,3
2011,11,WITTESTR.,3
2011,12,ALT-WITTENAU,2
2011,12,ALT-WITTENAU / EICHBORNDAMM,2
2011,12,AM EICHENHAIN,1
2011,12,AM FREIBAD,1
2011,12,AM NORDGRABEN / ORANIENBURGER STR. / ORANIENBURGER BRÜCKE,3
2011,12,AM PFINGSTBERG,2
2011,12,AM STEINBERGPARK,1
2011,12,AM VIERRUTENBERG / ZABEL-KRÜGER-DAMM,1
2011,12,AM WAIDMANNSECK / HERMSDORFER STR.,1
2011,12,AMBOßWEG / WILHELMSRUHER DAMM,1
2011,12,AMENDESTR.,1
2011,12,AMENDESTR. / REGINHARDSTR.,1
2011,12,AMENDESTR. / RESIDENZSTR.,1
2011,12,ARTUSWALL,1
2011,12,BERLINER STR.,9
2011,12,BERLINER STR. / BERTRAMSTR. / WACHSMUTHSTR.,1
2011,12,BERLINER STR. / BURGFRAUENSTR. / VELTHEIMSTR.,1
2011,12,BERLINER STR. / FONTANESTR.,1
2011,12,BERLINER STR. / ODILOSTR.,1
2011,12,BERLINER STR. / ROBINIENWEG,2
2011,12,BLUNCKSTR. / OLLENHAUERSTR. / ORANIENBURGER STR.,2
2011,12,BRANDTSTR.,1
2011,12,BÜDNERRING / REGINHARDSTR.,1
2011,12,BURGFRAUENSTR. / HOHEFELDSTR.,1
2011,12,CYCLOPSTR.,1
2011,12,DANNENWALDER WEG,1
2011,12,DEUTSCHE STR.,1
2011,12,DIETRICHINGER WEG / ORANIENBURGER STR. / WITTENAUER STR.,1
2011,12,DOHNENSTEIG / FORSTSTR. / HERMSDORFER DAMM,1
2011,12,EICHBORNDAMM,1
2011,12,EICHBORNDAMM / ORANIENBURGER STR. / WILHELMSRUHER DAMM,2
2011,12,EICHHORSTER WEG,2
2011,12,EICHHORSTER WEG / SCHLITZER STR.,1
2011,12,ELSESTR. / VELTHEIMSTR.,1
2011,12,EMMENTALER STR.,1
2011,12,EMMENTALER STR. / RESIDENZSTR.,1
