year,directorate,street,count
2016,11,ALT-HEILIGENSEE,2
2016,11,ALT-REINICKENDORF / ROEDERNALLEE / VELTENER STR.,2
2016,11,AM DACHSBAU / HEILIGENSEESTR.,1
2016,11,AM NORDGRABEN,1
2016,11,AM NORDGRABEN / EICHBORNDAMM,2
2016,11,AM NORDGRABEN / TRIFTSTR. / TRIFTBRÜCKE,2
2016,11,AN DER MÜHLE / KAROLINENSTR. / WAIDMANNSLUSTER DAMM / FLIEßBRÜCKE,1
2016,11,ANTONIENSTR.,1
2016,11,ANTONIENSTR. / SCHARNWEBERSTR. / A 111 BAB AUTOBAHNZUBRINGER HAMBURG / 111 AS EI,1
2016,11,AROSER ALLEE,2
2016,11,AROSER ALLEE / LINDAUER ALLEE,6
2016,11,AROSER ALLEE / ZERMATTER STR.,1
2016,11,AUGUSTE-VIKTORIA-ALLEE / HUMBOLDTSTR. / OLLENHAUERSTR.,1
2016,11,BARNABASSTR.,1
2016,11,BERENHORSTSTR. / ZOBELTITZSTR.,1
2016,11,BERLINER STR. / BERNAUER STR. / HOLZHAUSER STR. / SEIDELSTR. / BERNHARD-LICHTENB,1
2016,11,BERLINER STR. / BIEDENKOPFER STR.,1
2016,11,BERLINER STR. / ERNSTSTR. / AM BORSIGTURM,1
2016,11,BERLINER STR. / KAROLINENSTR. / SCHLOßSTR. / AM TEGELER HAFEN,1
2016,11,BERLINER STR. / NAMSLAUSTR.,1
2016,11,BERNAUER STR.,2
2016,11,BERNAUER STR. / MESCHEDER WEG,1
2016,11,BERNAUER STR. / SEIDELSTR.,1
2016,11,BERNAUER STR. / STRAßE L (HOKA III),1
2016,11,BIEDENKOPFER STR. / STERKRADER STR.,1
2016,11,BISONWEG,1
2016,11,BLANKESTR. / SCHARNWEBERSTR.,2
2016,11,BORSIGDAMM,2
2016,11,BORSIGWALDER WEG / MIRAUSTR.,1
2016,11,BRUNOWSTR.,1
2016,11,BUDDESTR.,2
2016,11,BUDDESTR. / BERNSTORFFSTR.,1
2016,11,BUDDESTR. / WAIDMANNSLUSTER DAMM,2
