year,directorate,street,count
2015,11,ADELHEIDALLEE / AN DER MÜHLE / GABRIELENSTR.,1
2015,11,ALT-HEILIGENSEE,1
2015,11,ALT-TEGEL / MEDEBACHER WEG,1
2015,11,AM BÄRENSPRUNG,1
2015,11,AM DACHSBAU / HELMKRAUTSTR.,1
2015,11,AM DACHSBAU / RUPPINER CHAUSSEE,1
2015,11,AM DACHSBAU / WILDGANSSTEIG,1
2015,11,AM NORDGRABEN,1
2015,11,AM NORDGRABEN / EICHBORNDAMM,3
2015,11,AM TEGELER HAFEN,1
2015,11,AN DER MÜHLE / KAROLINENSTR. / WAIDMANNSLUSTER DAMM / FLIEßBRÜCKE,2
2015,11,ANTONIENSTR.,1
2015,11,ANTONIENSTR. / WITTESTR.,1
2015,11,AROSER ALLEE,2
2015,11,AROSER ALLEE / GRINDELWALDWEG,1
2015,11,AROSER ALLEE / HOLLÄNDERSTR.,1
2015,11,AROSER ALLEE / LINDAUER ALLEE,2
2015,11,AUGUSTE-VIKTORIA-ALLEE,4
2015,11,AUGUSTE-VIKTORIA-ALLEE / SCHILLINGSTR.,1
2015,11,BÄRBELWEG,1
2015,11,BELOWSTR. / VON-DER-GABLENTZ-STR.,1
2015,11,BERENHORSTSTR. / ZOBELTITZSTR.,1
2015,11,BERLINER STR.,8
2015,11,BERLINER STR. / BIEDENKOPFER STR.,1
2015,11,BERLINER STR. / BRUNOWSTR.,2
2015,11,BERLINER STR. / EGELLSSTR. / WITTESTR.,2
2015,11,BERLINER STR. / ERNSTSTR. / AM BORSIGTURM,1
2015,11,BERLINER STR. / NAMSLAUSTR.,1
2015,11,BERLINER STR. / VEITSTR.,1
2015,11,BERNAUER STR.,1
2015,11,BERNAUER STR. / KAMENER WEG,2
2015,11,BERNAUER STR. / MAIENWERDERWEG,1
2015,11,BIEDENKOPFER STR. / STERKRADER STR.,1
2015,11,BORGGREVESTR. / HOLZWEIDEPFAD,1
2015,11,BORSIGWALDER WEG / MIRAUSTR.,1
2015,11,BREITENBACHSTR.,1
2015,11,BRUNOWSTR. / BUDDESTR.,1
2015,11,BUDDESTR. / BERNSTORFFSTR.,1
2015,11,BUDDESTR. / GORKISTR.,2
2015,11,CAMPESTR.,1
2015,11,CONRADSTR. / HOLZHAUSER STR. / SOLTAUER STR.,1
2015,11,DOHLENSTR. / HABICHTSTR. / SPECHTSTR.,1
2015,11,EICHBORNDAMM,2
2015,11,EICHBORNDAMM / SCHARNWEBERSTR. / A 111 BAB AUTOBAHNZUBRINGER HAMBURG / 111 AS EI,1
2015,11,EICHBORNDAMM / WALDSTR. / WITTESTR.,2
2015,11,ELCHDAMM,1
2015,11,ELCHDAMM / HEILIGENSEESTR.,1
2015,11,ERNSTSTR.,2
2015,11,ERNSTSTR. / SCHUBARTSTR.,1
2015,11,FLUGHAFEN TEGEL,2
2015,11,GENERAL-BARBY-STR.,1
2015,11,GENERAL-BARBY-STR. / GENERAL-WOYNA-STR. / MELLER BOGEN,1
2015,11,GENERAL-BARBY-STR. / WALDSTR.,1
2015,11,GORKISTR.,1
2015,11,GORKISTR. / ZIEKOWSTR.,2
2015,11,GOTTHARDSTR.,1
2015,11,GOTTHARDSTR. / KAPWEG / SCHARNWEBERSTR.,4
2015,11,HECHELSTR.,1
2015,11,HECHELSTR. / SCHARNWEBERSTR.,1
2015,11,HEILIGENSEESTR.,1
2015,11,HEILIGENSEESTR. / KAROLINENSTR. / RUPPINER CHAUSSEE,1
2015,11,HENNIGSDORFER STR.,2
2015,11,HENNIGSDORFER STR. / SILBERHAMMERWEG / ANGLERSIEDLUNG,1
2015,11,HOLZHAUSER STR. / RÄUSCHSTR.,1
2015,11,HUMBOLDTSTR. / LINDAUER ALLEE,1
2015,11,IM REHGRUND / JÄGERWEG,1
2015,11,JACOBSENWEG,1
2015,11,KAROLINENSTR.,1
2015,11,KIEFHEIDER WEG / RUPPINER CHAUSSEE,2
2015,11,KURT-SCHUMACHER-DAMM,2
2015,11,KURT-SCHUMACHER-DAMM / A 111 BAB AUTOBAHNZUBRINGER HAMBURG / 111 AS KURT-SCHU,1
2015,11,KURT-SCHUMACHER-DAMM / STRAßE 442 / CHARLES-CORCELLE-RING,2
2015,11,LINDAUER ALLEE,1
2015,11,LINDAUER ALLEE / OLLENHAUERSTR. / WALDSTR.,3
2015,11,LINDAUER ALLEE / ROEDERNALLEE / TEICHSTR.,1
2015,11,NUßHÄHERSTR.,1
2015,11,OLLENHAUERSTR.,9
2015,11,OTISSTR. / SEIDELSTR. / ALLÉE ST. EXUPÉRY,1
2015,11,OTISSTR. / WITTESTR.,2
2015,11,ROEDERNALLEE,1
2015,11,ROEDERNALLEE / THYSSENSTR.,1
2015,11,RUE DU CAPITAINE JEAN MARIDOR,1
2015,11,RUPPINER CHAUSSEE,7
2015,11,SCHARNWEBERSTR.,12
2015,11,SCHUBARTSTR.,1
2015,11,SCHULZENDORFER STR.,1
2015,11,SEIDELSTR.,2
2015,11,SEIDELSTR. / A 111 BAB AUTOBAHNZUBRINGER HAMBURG / SEIDELSTRAßENBRÜCKE / 111 AS,1
2015,11,SEIDELSTR. / AVENUE JEAN MERMOZ,1
2015,11,TILE-BRÜGGE-WEG,1
2015,11,TITUSWEG / WAIDMANNSLUSTER DAMM / ZIEKOWSTR.,1
2015,11,TRETTACHZEILE,1
2015,11,VOR DEN TOREN,1
2015,11,WALDSTR.,1
2015,11,WILHELM-BLUME-ALLEE,1
2015,11,WITTESTR.,3
2015,11,ZIEKOWSTR.,1
2015,12,ALEMANNENSTR.,1
2015,12,ALTER BERNAUER HEERWEG,1
2015,12,ALT-LÜBARS / BLANKENFELDER CHAUSSEE / SCHILDOWER WEG,1
2015,12,ALT-REINICKENDORF,1
2015,12,ALT-REINICKENDORF / RESIDENZSTR. / KLEMKESTR. / KOPENHAGENER STR.,1
2015,12,ALT-WITTENAU,2
2015,12,ALT-WITTENAU / EICHBORNDAMM,1
