year,directorate,street,count
2008,11,ALT-HEILIGENSEE,2
2008,11,AM BORSIGTURM,1
2008,11,AM DACHSBAU,2
2008,11,AN DER MÜHLE / KAROLINENSTR. / WAIDMANNSLUSTER DAMM,2
2008,11,ANTONIENSTR. / BREITENBACHSTR. / EICHBORNDAMM / MIRAUSTR.,1
2008,11,AUGUSTE-VIKTORIA-ALLEE,2
2008,11,BASELER STR. / EMMENTALER STR.,1
2008,11,BERLINER STR.,2
2008,11,BERLINER STR. / EGELLSSTR. / WITTESTR.,4
2008,11,BERLINER STR. / SCHLIEPERSTR.,1
2008,11,BERLINER STR. / VEITSTR.,1
2008,11,BERNAUER STR.,3
2008,11,BERNAUER STR. / STERKRADER STR.,1
2008,11,BERNSTORFFSTR.,1
2008,11,BOLLESTR.,1
2008,11,BORSIGWALDER WEG,1
2008,11,EICHBORNDAMM,3
2008,11,EICHBORNDAMM / WALDSTR. / WITTESTR.,1
2008,11,EICHBORNDAMM / ZOBELTITZSTR.,1
2008,11,ENGELMANNWEG / SCHARNWEBERSTR.,1
2008,11,GORKISTR.,3
2008,11,GRAF-HAESELER-STR. / SCHARNWEBERSTR.,1
2008,11,HENNIGSDORFER STR.,1
2008,11,HENNIGSDORFER STR. / RUPPINER CHAUSSEE,1
2008,11,HOLZHAUSER STR.,4
2008,11,HUMBOLDTSTR. / LINDAUER ALLEE,1
2008,11,KURT-SCHUMACHER-DAMM,2
2008,11,LINDAUER ALLEE / OLLENHAUERSTR. / WALDSTR.,3
2008,11,LINDAUER ALLEE / ROEDERNALLEE / TEICHSTR.,2
2008,11,OLLENHAUERSTR.,10
2008,11,ROEDERNALLEE,2
2008,11,RUPPINER CHAUSSEE,1
2008,11,SCHARNWEBERSTR.,10
2008,11,WAIDMANNSLUSTER DAMM,3
2008,11,WALDSTR.,2
2008,11,WITTESTR.,1
2008,11,ALT-REINICKENDORF / ROEDERNALLEE / VELTENER STR.,1
2008,11,AM NORDGRABEN / EICHBORNDAMM,2
2008,11,AROSER ALLEE / HOLLÄNDERSTR.,1
2008,11,BERLINER STR. / AM BORSIGTURM,1
2008,11,BERLINER STR. / KAROLINENSTR. / SCHLOßSTR. / AM TEGELER HAFEN,1
2008,11,BRUNOWSTR. / BUDDESTR.,1
2008,11,BUDDESTR. / GRUßDORFSTR.,1
2008,11,BUDDESTR. / WAIDMANNSLUSTER DAMM,3
2008,11,FRIEDRICH-KARL-STR. / OLLENHAUERSTR.,1
2008,11,GENERAL-BARBY-STR. / SCHARNWEBERSTR.,1
2008,11,HOLLÄNDERSTR.,1
2008,11,HOLZHAUSER STR. / WITTESTR.,2
2008,11,HUMBOLDTSTR.,1
2008,11,KAPWEG / SCHARNWEBERSTR.,1
2008,11,KAROLINENSTR.,3
2008,11,SCHARNWEBERSTR. / URANUSWEG,1
2008,11,SCHWARZER WEG,1
2008,11,ANTONIENSTR.,1
2008,11,AUGUSTE-VIKTORIA-ALLEE / MELLER BOGEN,2
2008,11,BUDDESTR.,1
2008,11,GENERAL-BARBY-STR.,1
2008,11,HATZFELDTALLEE / ZIEKOWSTR.,1
2008,11,HOLZHAUSER STR. / MIRAUSTR.,1
2008,11,KAPWEG,1
2008,11,OTISSTR. / SEIDELSTR. / ALLEE ST. EXUPERY,1
2008,11,STOLPMÜNDER WEG / SONNENWALDER WEG,1
2008,11,GENERAL-WOYNA-STR. / SCHARNWEBERSTR.,1
2008,11,HUMANNSTR.,1
2008,11,HUMBOLDTSTR. / KLENZEPFAD,1
2008,11,KIENHORSTSTR.,1
2008,11,AROSER ALLEE / GRINDELWALDWEG,1
2008,11,MIRAUSTR.,1
2008,11,GORKISTR. / MIRAUSTR.,1
2008,11,BERLINER STR. / ERNSTSTR. / AM BORSIGTURM,2
2008,11,EICHBORNDAMM / SCHARNWEBERSTR. / A 111 BAB AUTOBAHNZUBRINGER HAMBURG / 111 AS EI,4
2008,11,HERMSDORFER DAMM / WAIDMANNSLUSTER DAMM / A 111 BAB AUTOBAHNZUBRINGER HAMBURG /,4
2008,11,KURT-SCHUMACHER-DAMM / OLLENHAUERSTR. / SCHARNWEBERSTR. / KURT-SCHUMACHER-PLATZ,4
2008,11,ANDORNSTEIG / SCHULZENDORFER STR.,1
2008,11,ROEDERNALLEE / THYSSENSTR.,3
2008,11,GORKISTR. / MARZAHNSTR.,1
2008,11,ANTONIENSTR. / SCHARNWEBERSTR. / A 111 BAB AUTOBAHNZUBRINGER HAMBURG / 111 AS EI,2
2008,11,HOLZHAUSER STR. / A 111 BAB AUTOBAHNZUBRINGER HAMBURG / 111 AS HOLZHAUSER STR AU,2
2008,11,HEILIGENSEESTR. / REIHERALLEE,2
2008,11,BERLINER STR. / BIEDENKOPFER STR.,1
2008,11,LINDAUER ALLEE / WALDOWSTR. / KIENHORSTPARK,1
2008,11,BERNAUER STR. / MAIENWERDERWEG,1
2008,11,HABICHTSTR. / KONRADSHÖHER STR. / MILANSTR. / WALDKAUZSTR.,1
2008,11,BORSIGWALDER WEG / LADEBURGER WEG / TIETZSTR.,1
2008,11,AN DER HASENFURT / IM REHGRUND,1
2008,11,LÜBENER WEG / TEICHSTR.,1
2008,11,BERLINER STR. / BRUNOWSTR.,1
2008,11,BERNAUER STR. / STRAßE L (HOKA III) / KGA AM HOHENZOLLERNKANAL,1
2008,11,KURT-SCHUMACHER-DAMM / RUE DOMINIQUE LARREY / CHARLES-CORCELLE-RING,1
2008,11,KLAMANNSTR. / LINDAUER ALLEE,1
2008,11,BERLINER STR. / BERNAUER STR. / HOLZHAUSER STR. / SEIDELSTR. / BERNHARD-LICHTENB,1
2008,11,BARNABASSTR. / OSIANDERWEG,1
2008,11,BERNAUER STR. / SEIDELSTR.,1
2008,11,FLOHRSTR. / SEIDELSTR.,1
2008,11,CONRADSTR.,1
2008,11,LINDAUER ALLEE,1
2008,11,STERKRADER STR.,1
2008,11,VON-DER-GABLENTZ-STR.,1
2008,11,CAMPESTR.,2
2008,11,GRAF-HAESELER-STR.,1
2008,11,SCHLIEPERSTR.,1
2008,11,ZUFAHRT Z. FLUGHAFEN TEGEL,1
2008,11,SPERBERSTR.,1
2008,11,SANDHAUSER STR.,1
2008,11,ALT-REINICKENDORF / LUISENWEG / DORFAUE REINICKENDORF,1
2008,12,ALT-WITTENAU / EICHBORNDAMM,1
2008,12,ALT-WITTENAU / ROEDERNALLEE,1
2008,12,AMBOßWEG / WILHELMSRUHER DAMM,1
2008,12,BERLINER STR.,3
2008,12,BERLINER STR. / HERMSDORFER DAMM,3
2008,12,BERLINER STR. / ROBINIENWEG,2
2008,12,BERLINER STR. / WALDSEEWEG,1
2008,12,CALAUER STR. / SENFTENBERGER RING,3
2008,12,DANNENWALDER WEG / FINSTERWALDER STR. / WILHELMSRUHER DAMM,2
2008,12,EDELHOFDAMM / ZELTINGER PLATZ,1
2008,12,EICHBORNDAMM,2
2008,12,EICHBORNDAMM / ORANIENBURGER STR. / WILHELMSRUHER DAMM,3
2008,12,EICHHORSTER WEG,1
2008,12,EMMENTALER STR. / RESIDENZSTR.,1
2008,12,FINSTERWALDER STR,1
2008,12,HEINSESTR.,1
2008,12,HERMSDORFER DAMM,1
2008,12,HOHEFELDSTR.,2
2008,12,HOLLÄNDERSTR. / MARKSTR.,3
2008,12,LUDOLFINGERPLATZ / FROHNAUER BRÜCKE,1
2008,12,ORANIENBURGER STR.,4
2008,12,ORANIENDAMM,4
2008,12,ORANIENDAMM / WAIDMANNSLUSTER DAMM / ZABEL-KRÜGER- DAMM,2
2008,12,QUICKBORNER STR.,2
2008,12,RESIDENZSTR.,8
2008,12,RESIDENZSTR. / RITTERLANDWEG,2
2008,12,ROEDERNALLEE,4
2008,12,SCHULZENDORFER STR.,1
2008,12,SENFTENBERGER RING,2
2008,12,TREUENBRIETZENER STR.,1
2008,12,WAIDMANNSLUSTER DAMM,2
2008,12,WILHELMSRUHER DAMM,6
2008,12,ZABEL-KRÜGER-DAMM,4
2008,12,ZELTINGER PLATZ,1
2008,12,ZELTINGER PLATZ / FROHNAUER BRÜCKE,2
2008,12,AMENDESTR.,1
2008,12,ARTEMISSTR. / DIANASTR.,1
2008,12,DANNENWALDER WEG,1
2008,12,DANNENWALDER WEG / TREUENBRIETZENER STR. / WILHELMSRUHER DAMM,1
2008,12,EICHHORSTER WEG / SCHORFHEIDESTR. / WILHELMSRUHER DAMM,1
2008,12,EMMENTALER STR.,4
2008,12,EUTINGER WEG / FLORASTR. / ORANIENDAMM,1
2008,12,FALKENTALER STEIG / FROHNAUER STR.,2
2008,12,LENGEDER STR. / ROEDERNALLEE,2
2008,12,ORANIENBURGER STR. / ROEDERNALLEE,1
2008,12,PANKOWER ALLEE,1
2008,12,PANKOWER ALLEE / PAPIERSTR. / PROVINZSTR.,4
2008,12,SCHULZENDORFER STR. / BRANDTSTR. / HEINSESTR.,1
2008,12,WALDERSEESTR.,1
2008,12,WITTENAUER STR.,1
2008,12,HERMSDORFER DAMM / HOHEFELDSTR.,2
2008,12,KÖNIGSHORSTER STR.,1
2008,12,PANKOWER ALLEE / FAHLANDGASSE,1
2008,12,SOMMERSTR. / KLEMKESTR.,1
2008,12,WILHELM-GERICKE-STR.,1
