year,directorate,street,count
2010,11,AN DER MÜHLE / KAROLINENSTR. / WAIDMANNSLUSTER,3
2010,11,AROSER ALLEE,1
2010,11,AUGUSTE-VIKTORIA-ALLEE / HUMBOLDTSTR. / OLLENHAUERSTR.,1
2010,11,BERLINER STR.,2
2010,11,BERNAUER STR.,3
2010,11,EICHBORNDAMM,1
2010,11,FLOTTENSTR. / ROEDERNALLEE,1
2010,11,GORKISTR.,1
2010,11,HENNIGSDORFER STR.,1
2010,11,HOLZHAUSER STR.,2
2010,11,HUMBOLDTSTR. / LINDAUER ALLEE,1
2010,11,INNUNGSSTR. / OTISSTR. / WITTESTR.,2
2010,11,KURT-SCHUMACHER-DAMM,2
2010,11,LINDAUER ALLEE / ROEDERNALLEE / TEICHSTR.,2
2010,11,OLLENHAUERSTR.,9
2010,11,ROEDERNALLEE,2
2010,11,RUPPINER CHAUSSEE,3
2010,11,SCHARNWEBERSTR.,12
2010,11,SCHULZENDORFER STR.,1
2010,11,SEIDELSTR.,1
2010,11,WAIDMANNSLUSTER DAMM,2
2010,11,WALDSTR.,1
2010,11,WITTESTR.,2
2010,11,BERLINER STR. / KAROLINENSTR. / SCHLOßSTR. / AM TEGELER HAFEN,1
2010,11,ERNSTSTR.,1
2010,11,GORKISTR. / ZIEKOWSTR.,1
2010,11,HOLLÄNDERSTR.,2
2010,11,HOLZHAUSER STR. / WITTESTR.,2
2010,11,KAPWEG / SCHARNWEBERSTR.,1
2010,11,BUDDESTR.,1
2010,11,BUDDESTR. / GORKISTR.,1
2010,11,OTISSTR. / SEIDELSTR. / ALLEE ST. EXUPERY,2
2010,11,RUPPINER CHAUSSEE / STOLPMÜNDER WEG,1
2010,11,KIENHORSTSTR.,1
2010,11,HERMSDORFER DAMM / WAIDMANNSLUSTER DAMM / A 111 BAB AUTOBAHNZUBRINGER HAMBURG /,2
2010,11,KURT-SCHUMACHER-DAMM / OLLENHAUERSTR. / SCHARNWEBERSTR. / KURT-SCHUMACHER-PLATZ,1
2010,11,ANDORNSTEIG / SCHULZENDORFER STR.,1
2010,11,BERNAUER STR. / SEIDELSTR.,1
2010,11,BASDORFER ZEILE / GORKISTR.,1
2010,11,BLANKESTR. / SCHARNWEBERSTR.,1
2010,11,FLUGPLATZ TEGEL,1
2010,11,BUDDESTR. / BERNSTORFFSTR.,1
2010,11,RUPPINER CHAUSSEE / SCHULZENDORFER STR. / ZUR BAB A111-E26,1
2010,11,ANTONIENSTR. / EICHBORNDAMM / MIRAUSTR.,1
2010,11,ALT-HEILIGENSEE,2
2010,11,AM BÄRENSPRUNG,1
2010,11,AM NORDGRABEN / EICHBORNDAMM,3
2010,11,AM NORDGRABEN / GORKISTR. / STRAßE 184 / PARK BORSIGAUE,2
2010,11,AN DER WILDBAHN,1
2010,11,AROSER ALLEE / SCHILLERRING,1
2010,11,AUGUSTE-VIKTORIA-ALLEE,2
2010,11,AUGUSTE-VIKTORIA-ALLEE / ENGELMANNWEG,1
2010,11,AUGUSTE-VIKTORIA-ALLEE / GENERAL-BARBY-STR.,1
2010,11,BERENHORSTSTR.,1
2010,11,BERLINER STR. / BIEDENKOPFER STR.,1
2010,11,BERLINER STR. / GORKISTR.,2
2010,11,BERLINER STR. / GRUßDORFSTR.,2
2010,11,BERLINER STR. / VEITSTR.,1
2010,11,BERNAUER STR. / MAIENWERDERWEG,1
2010,11,BILLERBECKER WEG / RAUXELER WEG,1
2010,11,BILLERBECKER WEG / STERKRADER STR.,1
2010,11,BISONWEG / SCHULZENDORFER STR.,1
2010,11,BORSIGDAMM / BORSIGDAMMBRÜCKE,1
2010,11,BREITENBACHSTR. / INNUNGSSTR.,1
2010,11,BRUNOWSTR. / TRESKOWSTR.,1
2010,11,BUDDESTR. / WAIDMANNSLUSTER DAMM,2
2010,11,EICHBORNDAMM / HERMANN-PIPER-STR. / KGA KÜHLER GRUND,1
2010,11,EICHBORNDAMM / PANNWITZSTR.,1
2010,11,ERHOLUNGSWEG / SANDGRASWEG,1
2010,11,GABRIELENSTR.,1
2010,11,GENERAL-BARBY-STR.,1
2010,11,GORKISTR. / MIRAUSTR.,1
2010,11,GREENWICHPROMENADE,1
2010,11,GROßKOPFSTR. / OLLENHAUERSTR.,1
2010,11,HEILIGENSEESTR.,1
2010,11,HEILIGENSEESTR. / KONRADSHÖHER STR.,1
2010,11,HOLLÄNDERSTR. / SEPTIMERSTR.,1
2010,11,IM SAATWINKEL,1
2010,11,KAPWEG / KURT-SCHUMACHER-DAMM,2
2010,11,KAROLINENSTR.,2
2010,11,KIEFHEIDER WEG,1
2010,11,KIEFHEIDER WEG / RUPPINER CHAUSSEE,1
2010,11,KURT-SCHUMACHER-DAMM / A 111 BAB AUTOBAHNZUBRINGER HAMBURG / 111 AS KURT-SCHUHMA,1
2010,11,KURT-SCHUMACHER-DAMM / RUE CHARLES CALMETTE,1
2010,11,MELLER BOGEN,1
2010,11,MIRAUSTR.,1
2010,11,NORDLICHTSTR.,1
2010,11,OESERSTR. / STILLACHZEILE / ZIEKOWSTR.,1
2010,11,REGENWALDER WEG,1
2010,11,SCHARNWEBERSTR. / URANUSWEG,2
2010,11,SCHWARZER WEG,2
2010,11,SEIDELSTR. / A 111 BAB AUTOBAHNZUBRINGER HAMBURG / SEIDELSTRAßENBRÜCKE / 111 AS,1
2010,11,SOLTAUER STR.,1
2010,11,URANUSWEG / NORDLICHTSTR.,1
2010,11,WESSELBURER WEG,1
2010,11,ZIEGENORTER PFAD,1
2010,11,ZIEKOWSTR. / WILHELM-BLUME-ALLEE / KGA INDUSTRIEBAHN,1
2010,11,ZIEKOWSTR. / ZIEKOW-BRÜCKE / NORDGRABEN,1
2010,12,ALT-WITTENAU / EICHBORNDAMM,1
2010,12,BERLINER STR.,5
2010,12,BERLINER STR. / WALDSEEWEG,1
2010,12,DANNENWALDER WEG / FINSTERWALDER STR. / WILHELMSRUHER DAMM,1
2010,12,EICHBORNDAMM / ORANIENBURGER STR. / WILHELMSRUHER DAMM,3
2010,12,EMMENTALER STR. / RESIDENZSTR.,1
2010,12,FALKENTALER STEIG / HEINSESTR. / HERMSDORFER DAMM,1
2010,12,HERMSDORFER STR. / ORANIENBURGER STR.,4
2010,12,MARKSTR. / PANKOWER ALLEE / RESIDENZSTR.,2
2010,12,OLLENHAUERSTR.,1
2010,12,ORANIENBURGER STR.,8
2010,12,ORANIENDAMM,2
2010,12,ORANIENDAMM / WAIDMANNSLUSTER DAMM / ZABEL- KRÜGER-DAMM,1
2010,12,QUICKBORNER STR.,1
2010,12,RESIDENZSTR.,7
2010,12,ROEDERNALLEE,1
2010,12,SENFTENBERGER RING,2
2010,12,WILHELMSRUHER DAMM,1
2010,12,ZABEL-KRÜGER-DAMM,3
2010,12,ZELTINGER PLATZ,2
2010,12,ZELTINGER PLATZ / FROHNAUER BRÜCKE,1
2010,12,ALMUTSTR. / BERLINER STR.,1
2010,12,DANNENWALDER WEG / TREUENBRIETZENER STR. / WILHELMSRUHER DAMM,1
2010,12,DIETRICHINGER WEG / ORANIENBURGER STR. / WITTENAUER STR.,1
2010,12,DÜSTERHAUPTSTR. / WAIDMANNSLUSTER DAMM,1
2010,12,EICHHORSTER WEG / SCHORFHEIDESTR. / WILHELMSRUHER DAMM,1
2010,12,HERMSDORFER STR.,1
2010,12,HOLLÄNDERSTR.,1
2010,12,MARKSTR.,4
2010,12,BENEKENDORFFSTR. / ORANIENDAMM,1
2010,12,SIGISMUNDKORSO / LUDOLFINGERPLATZ,1
2010,12,MARTIN-LUTHER-STR.,1
2010,12,SENFTENBERGER RING / STRAUPITZER STEIG,1
2010,12,LINDAUER ALLEE / RESIDENZSTR. / KOLPINGPLATZ,5
2010,12,ORANIENBURGER STR. / GÖSCHENPLATZ,1
2010,12,BERLINER STR. / BURGFRAUENSTR. / VELTHEIMSTR.,1
2010,12,AM NORDGRABEN / ROEDERNALLEE / ROEDERNBRÜCKE,1
2010,12,SCHONACHER STR. / ZABEL-KRÜGER-DAMM / SCHLUCHSEESTR.,2
2010,12,PROVINZSTR.,1
2010,12,RASCHDORFFSTR. / RESIDENZSTR. / THATERSTR.,2
2010,12,MAXIMILIANKORSO,1
2010,12,AM EICHENHAIN,1
